collegeFullName,collegeName,collegeId,collegeImageUrl
Cincinnati Bearcats,Cincinnati,2132,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&h=80&w=80&scale=crop&cquality=40&location=origin
East Carolina Pirates,East Carolina,151,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/151.png&h=80&w=80&scale=crop&cquality=40&location=origin
Houston Cougars,Houston,248,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png&h=80&w=80&scale=crop&cquality=40&location=origin
Memphis Tigers,Memphis,235,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&h=80&w=80&scale=crop&cquality=40&location=origin
Navy Midshipmen,Navy,2426,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2426.png&h=80&w=80&scale=crop&cquality=40&location=origin
SMU Mustangs,SMU,2567,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&h=80&w=80&scale=crop&cquality=40&location=origin
South Florida Bulls,South Florida,58,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png&h=80&w=80&scale=crop&cquality=40&location=origin
Temple Owls,Temple,218,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png&h=80&w=80&scale=crop&cquality=40&location=origin
Tulane Green Wave,Tulane,2655,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png&h=80&w=80&scale=crop&cquality=40&location=origin
Tulsa Golden Hurricane,Tulsa,202,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&h=80&w=80&scale=crop&cquality=40&location=origin
UCF Knights,UCF,2116,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&h=80&w=80&scale=crop&cquality=40&location=origin
Boston College Eagles,Boston College,103,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png&h=80&w=80&scale=crop&cquality=40&location=origin
Clemson Tigers,Clemson,228,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&h=80&w=80&scale=crop&cquality=40&location=origin
Duke Blue Devils,Duke,150,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&h=80&w=80&scale=crop&cquality=40&location=origin
Florida State Seminoles,Florida State,52,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&h=80&w=80&scale=crop&cquality=40&location=origin
Georgia Tech Yellow Jackets,Georgia Tech,59,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png&h=80&w=80&scale=crop&cquality=40&location=origin
Louisville Cardinals,Louisville,97,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&h=80&w=80&scale=crop&cquality=40&location=origin
Miami Hurricanes,Miami,2390,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&h=80&w=80&scale=crop&cquality=40&location=origin
NC State Wolfpack,NC State,152,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&h=80&w=80&scale=crop&cquality=40&location=origin
North Carolina Tar Heels,North Carolina,153,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&h=80&w=80&scale=crop&cquality=40&location=origin
Notre Dame Fighting Irish,Notre Dame,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&h=80&w=80&scale=crop&cquality=40&location=origin
Pittsburgh Panthers,Pittsburgh,221,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&h=80&w=80&scale=crop&cquality=40&location=origin
Syracuse Orange,Syracuse,183,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&h=80&w=80&scale=crop&cquality=40&location=origin
Virginia Cavaliers,Virginia,258,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png&h=80&w=80&scale=crop&cquality=40&location=origin
Virginia Tech Hokies,Virginia Tech,259,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&h=80&w=80&scale=crop&cquality=40&location=origin
Wake Forest Demon Deacons,Wake Forest,154,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&h=80&w=80&scale=crop&cquality=40&location=origin
Baylor Bears,Baylor,239,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png&h=80&w=80&scale=crop&cquality=40&location=origin
Iowa State Cyclones,Iowa State,66,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&h=80&w=80&scale=crop&cquality=40&location=origin
Kansas Jayhawks,Kansas,2305,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png&h=80&w=80&scale=crop&cquality=40&location=origin
Kansas State Wildcats,Kansas State,2306,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png&h=80&w=80&scale=crop&cquality=40&location=origin
Oklahoma Sooners,Oklahoma,201,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&h=80&w=80&scale=crop&cquality=40&location=origin
Oklahoma State Cowboys,Oklahoma State,197,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&h=80&w=80&scale=crop&cquality=40&location=origin
TCU Horned Frogs,TCU,2628,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png&h=80&w=80&scale=crop&cquality=40&location=origin
Texas Longhorns,Texas,251,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&h=80&w=80&scale=crop&cquality=40&location=origin
Texas Tech Red Raiders,Texas Tech,2641,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png&h=80&w=80&scale=crop&cquality=40&location=origin
West Virginia Mountaineers,West Virginia,277,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png&h=80&w=80&scale=crop&cquality=40&location=origin
Illinois Fighting Illini,Illinois,356,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png&h=80&w=80&scale=crop&cquality=40&location=origin
Indiana Hoosiers,Indiana,84,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&h=80&w=80&scale=crop&cquality=40&location=origin
Iowa Hawkeyes,Iowa,2294,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&h=80&w=80&scale=crop&cquality=40&location=origin
Maryland Terrapins,Maryland,120,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png&h=80&w=80&scale=crop&cquality=40&location=origin
Michigan State Spartans,Michigan State,127,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&h=80&w=80&scale=crop&cquality=40&location=origin
Michigan Wolverines,Michigan,130,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&h=80&w=80&scale=crop&cquality=40&location=origin
Minnesota Golden Gophers,Minnesota,135,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&h=80&w=80&scale=crop&cquality=40&location=origin
Nebraska Cornhuskers,Nebraska,158,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png&h=80&w=80&scale=crop&cquality=40&location=origin
Northwestern Wildcats,Northwestern,77,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png&h=80&w=80&scale=crop&cquality=40&location=origin
Ohio State Buckeyes,Ohio State,194,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&h=80&w=80&scale=crop&cquality=40&location=origin
Penn State Nittany Lions,Penn State,213,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&h=80&w=80&scale=crop&cquality=40&location=origin
Purdue Boilermakers,Purdue,2509,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png&h=80&w=80&scale=crop&cquality=40&location=origin
Rutgers Scarlet Knights,Rutgers,164,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png&h=80&w=80&scale=crop&cquality=40&location=origin
Wisconsin Badgers,Wisconsin,275,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&h=80&w=80&scale=crop&cquality=40&location=origin
Charlotte 49ers,Charlotte,2429,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2429.png&h=80&w=80&scale=crop&cquality=40&location=origin
Florida Atlantic Owls,Florida Atlantic,2226,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png&h=80&w=80&scale=crop&cquality=40&location=origin
Florida International Panthers,Florida International,2229,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2229.png&h=80&w=80&scale=crop&cquality=40&location=origin
Louisiana Tech Bulldogs,Louisiana Tech,2348,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2348.png&h=80&w=80&scale=crop&cquality=40&location=origin
Marshall Thundering Herd,Marshall,276,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png&h=80&w=80&scale=crop&cquality=40&location=origin
Middle Tennessee Blue Raiders,Middle Tennessee,2393,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2393.png&h=80&w=80&scale=crop&cquality=40&location=origin
North Texas Mean Green,North Texas,249,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/249.png&h=80&w=80&scale=crop&cquality=40&location=origin
Old Dominion Monarchs,Old Dominion,295,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/295.png&h=80&w=80&scale=crop&cquality=40&location=origin
Rice Owls,Rice,242,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&h=80&w=80&scale=crop&cquality=40&location=origin
