"","displayName","nflId","team","games","plays","playerImageUrl","height","weight","birthDate","position","collegeName"
"1","A.J. Bouye",2541162,"JAX",13,449,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16562.png&w=350&h=254","72",191,"1991-08-16","CB","UCF"
"2","A.J. Derby",2552580,"MIA",4,69,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3046413.png&w=350&h=254","6-5",240,"09/20/1991","TE","Arkansas"
"3","A.J. Green",2495450,"CIN",9,292,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13983.png&w=350&h=254","76",210,"1988-07-31","WR","Georgia"
"4","A.J. Klein",2539982,"NO",16,381,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15964.png&w=350&h=254","73",240,"1991-07-30","OLB","Iowa State"
"5","A.J. Moore",2561538,"HOU",1,1,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128746.png&w=350&h=254","71",202,"1995-12-15","DB","Ole Miss"
"6","Aaron Colvin",2543501,"HOU",8,220,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16900.png&w=350&h=254","72",191,"1991-10-02","CB","Oklahoma"
"7","Aaron Jones",2558116,"GB",12,221,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3042519.png&w=350&h=254","69",208,"1994-12-02","RB","UTEP"
"8","Aaron Lynch",2543650,"CHI",3,5,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16941.png&w=350&h=254","77",285,"1993-02-08","OLB","South Florida"
"9","Aaron Rodgers",2506363,"GB",16,656,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png&w=350&h=254","74",225,"1983-12-02","QB","California"
"10","Aaron Wallace",2555320,"TEN",1,2,NA,"6-2",242,"07/08/1993","OLB","UCLA"
"11","Abry Jones",2539230,"JAX",1,1,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16376.png&w=350&h=254","76",318,"1991-09-08","NT","Georgia"
"12","Adam Butler",2558924,"NE",1,1,"https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2972342.png&w=350&h=254","77",300,"1994-04-12","DT","Vanderbilt"
