"","teamName","teamImageUrl","division","conference"
"1","MIA","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/mia.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC East","NFC"
"2","NE","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ne.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC East","NFC"
"3","NYJ","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyj.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC East","NFC"
"4","BUF","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC East","NFC"
"5","CLE","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cle.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC North","NFC"
"6","BAL","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/bal.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC North","NFC"
"7","CIN","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cin.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC North","NFC"
"8","PIT","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/pit.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC North","NFC"
"9","IND","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC South","NFC"
"10","TEN","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ten.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC South","NFC"
"11","JAX","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC South","NFC"
"12","HOU","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC South","NFC"
"13","OAK","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/oak.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC West","NFC"
"14","DEN","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC West","NFC"
"15","KC","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/kc.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC West","NFC"
"16","LAC","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","AFC West","NFC"
"17","PHI","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/phi.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC East","NFC"
"18","NYG","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyg.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC East","NFC"
"19","WAS","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/was.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC East","NFC"
"20","DAL","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC East","NFC"
"21","GB","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC North","NFC"
"22","DET","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/det.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC North","NFC"
"23","CHI","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/chi.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC North","NFC"
"24","MIN","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/min.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC North","NFC"
"25","NO","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/no.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC South","NFC"
"26","CAR","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/car.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC South","NFC"
"27","ATL","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/atl.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC South","NFC"
"28","TB","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/tb.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC South","NFC"
"29","ARI","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC West","NFC"
"30","SF","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC West","NFC"
"31","LA","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/la.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC West","NFC"
"32","SEA","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sea.png&w=40&h=40&cquality=40&scale=crop&location=origin&transparent=true","NFC West","NFC"
