"gameId","playId","nflId_def","play_type","eps_ball_hawk"
2018091609,1530,1302,"PB",1.393
2018122311,3264,1302,"PB",0.91
2018111900,5001,2307,"PB",0.392
2018102900,2847,71251,"PB",0.001
2018112509,2576,496727,"PB",1.076
2018090901,2841,496733,"PB",1.26
2018123003,206,496735,"PB",-0.019
2018120908,3182,2495281,"INT",3.538
2018123006,2091,2495343,"PB",0.935
2018120211,3611,2495343,"PB",0.371
2018093004,5602,2495872,"PB",1.085
2018123007,3518,2499257,"INT",3.478
2018100703,3696,2508004,"PB",2.559
2018100703,4202,2508004,"PB",0.377
2018123000,4270,2508004,"PB",0.079
2018123000,4354,2508004,"PB",0.038
2018111808,3619,2532861,"PB",0.85
2018093010,3120,2532861,"PB",0.559
2018120908,3047,2532875,"PB",1.027
2018123008,4317,2532875,"PB",0.259
2018120908,780,2532920,"PB",0.233
2018120907,503,2533008,"PB",0.22
2018112505,1875,2533062,"INT",3.057
2018090905,1247,2533062,"PB",0.312
2018091612,2307,2533062,"PB",0.251
2018111801,2330,2539233,"INT",4.717
2018112502,2152,2539243,"INT",2.924
2018121000,177,2539243,"PB",0.167
2018112503,2384,2539311,"PB",0.562
2018110404,3414,2539935,"PB",0.419
2018121607,1970,2540155,"PB",1.473
2018090905,757,2540180,"INT",3.997
2018093009,1770,2541200,"PB",1.017
2018120908,3431,2543470,"PB",0.769
2018091612,3127,2543699,"INT",3.745
2018101401,417,2543814,"PB",0.462
2018101800,1846,2543855,"PB",0.8
2018101402,2227,2550842,"PB",1.102
2018100705,2144,2552265,"INT",4.946
2018110403,3842,2552265,"INT",4.813
2018102105,2068,2552265,"PB",0.8
2018090903,641,2552434,"PB",1.048
2018090907,3755,2552454,"PB",0.345
2018111809,98,2552484,"PB",2.214
2018090600,889,2552689,"PB",0.86
2018093005,2495,2553353,"INT",1.842
2018101406,1200,2553353,"PB",1.417
2018111100,1175,2553500,"INT",2.828
2018092700,3691,2555156,"PB",1.877
2018091602,1308,2555161,"PB",0.189
2018101405,3167,2555177,"PB",2.181
2018101405,113,2555177,"PB",1.286
2018121700,2048,2555277,"INT",1.365
2018111111,2646,2555310,"PB",1.102
2018091000,2735,2555322,"INT",4.269
2018100709,477,2555383,"PB",0.205
2018112507,3780,2555552,"INT",2.936
2018102808,3223,2555568,"PB",1.33
2018102900,3620,2556119,"PB",0.336
2018120909,2964,2556367,"PB",1.277
2018121600,204,2556371,"PB",1.581
2018120208,415,2556559,"PB",0.485
2018093010,2478,2556828,"INT",5.3
2018123008,171,2557840,"INT",3.532
2018102900,182,2557867,"PB",1.788
2018093003,2557,2557867,"PB",0.484
2018102900,804,2557969,"PB",1.634
2018091000,3676,2557979,"INT",1.595
2018102101,3550,2558061,"PB",1.373
2018090906,3363,2558061,"PB",0.217
2018120210,596,2558062,"PB",0.998
2018092308,1643,2558108,"PB",0.018
2018121611,1085,2558183,"PB",1.632
2018091001,792,2558183,"PB",0.46
2018092306,2732,2559053,"PB",1.061
2018111808,1803,2559164,"PB",0.104
2018120900,2855,2560713,"INT",2.024
2018102900,534,2560713,"PB",0.72
2018121000,1173,2560741,"PB",1.25
2018102107,4500,2560741,"PB",1.127
2018102500,1633,2560759,"PB",0.825
2018112508,1363,2560760,"INT",3.744
2018092301,2751,2560763,"PB",0.657
2018121611,104,2560795,"PB",2.82
2018101406,170,2560822,"PB",0.924
2018122305,2343,2560839,"PB",0.857
2018120901,1211,2560877,"INT",5.78
2018120908,2267,2560886,"PB",0.58
2018110401,4845,2560901,"PB",0.549
2018111106,1981,2560914,"PB",0.741
2018111500,2744,2560982,"PB",2.254
2018100704,2721,2560982,"PB",-3.162
2018091606,491,2561039,"PB",-0.018
