"gameId","playId","nflId_def","targetNflId","eps_ball_skills"
2018092306,2857,306,2552409,0.996
2018100708,2029,306,2540154,0.431
2018101407,1433,306,2530747,0.023
2018122311,3217,1302,2506106,0.015
2018122311,1806,1302,2561272,-0.096
2018120901,2608,1302,2543509,-0.159
2018121611,2562,1302,2533039,-0.178
2018092310,2289,1302,2540154,-0.18
2018091609,1405,1302,2558208,-0.411
2018121611,2378,1302,2533039,-1.066
2018121611,1692,1302,2533039,-1.377
2018121611,901,1302,2533039,-1.819
2018100705,4683,2307,2561018,3.081
2018111105,443,2307,2506106,1.201
2018120210,2937,2307,2560961,1.14
2018100705,2089,2307,2559153,0.983
2018102105,78,2307,2495450,0.853
2018091605,3834,2307,2508061,0.762
2018102805,3912,2307,497328,0.516
2018111900,2838,2307,2540169,0.469
2018111105,3206,2307,2552656,0.441
2018102105,3531,2307,2495450,0.42
2018102105,2046,2307,2495450,0.354
2018100705,3443,2307,2559153,0.344
2018100100,1774,2307,497322,0.192
2018100705,2948,2307,2543614,0.168
2018121300,3675,2307,2505299,0.037
2018092305,1933,2307,2558914,0.035
2018120905,5014,2307,2543847,-0.029
2018110403,1637,2307,2555468,-0.055
2018100100,1824,2307,2560888,-0.087
2018110403,1153,2307,2560988,-0.102
2018120210,2912,2307,1032,-0.132
2018111105,2154,2307,2560781,-0.168
2018101412,927,2307,238498,-0.272
2018092305,3876,2307,2534820,-0.289
2018100705,3329,2307,2543614,-0.341
2018120905,1221,2307,2550256,-0.348
2018120210,3984,2307,1032,-0.494
2018111900,137,2307,2543498,-0.548
2018101412,2217,2307,2537931,-0.622
2018121300,2388,2307,2558846,-0.658
2018120905,2162,2307,2550256,-0.71
2018120905,1301,2307,2543847,-0.737
2018111900,5023,2307,2543498,-0.862
2018111900,2882,2307,2558194,-1.179
2018100705,2972,2307,2559153,-1.234
2018111105,2245,2307,2560781,-1.251
2018111900,884,2307,2558194,-1.762
2018102105,1572,2307,2495450,-3.066
2018111804,1371,2354,2558123,0.277
2018112600,2391,2354,2540165,0.015
2018123011,3196,2354,2558832,-0.119
2018091607,895,2354,2541316,-0.148
2018122200,2355,2354,2552415,-0.292
2018111108,297,2354,2537931,-2.689
2018122201,62,4365,2558846,3.55
2018100703,3402,4365,2560988,2.766
2018093012,1093,4365,2558149,2.473
2018110400,3495,4365,2508061,2.311
2018090900,3420,4365,2543471,1.691
2018090900,2845,4365,2543471,1.387
2018093012,4019,4365,2560920,1.385
2018111801,3813,4365,2555466,1.346
2018120200,1014,4365,2560854,0.98
2018090900,1551,4365,2543471,0.95
2018091300,371,4365,2495450,0.934
2018123000,4174,4365,2552597,0.683
2018093012,1275,4365,2558149,0.311
2018102101,3211,4365,2559385,0.258
2018102101,2235,4365,2560878,0.174
2018100703,2194,4365,2543488,0.076
2018090900,1823,4365,2543471,-0.083
2018120905,3901,4365,2556214,-0.087
2018110400,2513,4365,2540215,-0.123
2018110400,1750,4365,2508061,-0.178
2018090900,3210,4365,2495453,-0.253
2018101411,72,4365,2555317,-0.449
2018100703,4943,4365,2561470,-0.516
2018121601,1655,4365,2543468,-0.59
2018120905,626,4365,2540258,-0.679
2018123000,4196,4365,2552597,-0.717
2018111801,3742,4365,2555466,-0.961
2018100703,556,4365,2555468,-1.076
2018091300,3746,4365,2495450,-1.163
2018102801,1970,4365,2560813,-1.261
2018123000,1167,4365,2560988,-1.992
2018090907,248,71197,2552471,0.401
2018122308,302,71251,2558129,2.926
2018102102,3513,71251,2550284,2.018
2018100400,4243,71251,2543466,1.521
2018122308,2391,71251,2543767,1.498
2018102900,4254,71251,2559159,1.454
2018121610,2394,71251,2540215,1.095
2018102102,2039,71251,2540200,0.94
2018123006,667,71251,2557885,0.394
2018110410,1027,71251,2560883,0.264
2018102102,2415,71251,2558250,0.07
2018122308,3704,71251,2559159,0.061
2018120906,2304,71251,2555230,0.002
2018112505,2060,71251,2560738,-0.036
2018120906,2774,71251,2649,-0.293
2018090905,3992,71251,2541316,-0.338
2018091612,736,71251,2553318,-0.366
2018110410,981,71251,497236,-0.377
2018121610,330,71251,2540215,-0.479
2018102900,1050,71251,2495139,-0.516
2018121610,3358,71251,2540215,-0.676
2018091612,1916,71251,2543683,-0.723
2018111108,190,71251,2558207,-0.738
2018093006,51,71251,2540202,-0.805
2018090905,1222,71251,2560896,-1.234
2018100400,3289,71251,2543466,-1.53
2018110410,2594,71251,497236,-2.165
2018102106,3331,71441,2552403,-0.126
2018110405,1626,71441,2555214,-0.226
2018120911,2633,71441,2553435,-0.313
2018102106,2079,71441,2560994,-0.496
2018112200,567,71441,2550284,-0.554
2018102800,2728,79848,2557895,2.025
2018120912,943,79848,2555224,0.679
2018093007,4101,79848,2558207,0.483
2018102108,1307,79848,2495700,0.023
2018102108,1417,79848,2557997,-0.006
2018123012,3320,79848,2561329,-0.43
2018120912,4717,79848,2560866,-0.456
2018121611,539,79848,2540169,-0.51
2018091606,1782,79848,2557856,-0.589
2018100709,1745,79848,2495438,-0.725
2018102800,2332,79848,2557895,-1.11
2018111809,3206,79848,2558019,-5.418
2018091601,290,79901,2558846,-1.769
2018092309,1464,80431,2540160,-0.565
2018102801,2723,80668,2550256,3.654
2018112502,3532,80668,2541966,3.167
2018123007,1285,80668,2560878,2.907
2018100701,151,80668,2555295,2.124
2018110402,2480,80668,1581,1.431
2018110800,2296,80668,2558149,1.401
2018121700,1637,80668,2560878,1.164
2018121700,1605,80668,2558019,1.121
2018101408,3556,80668,2556404,0.746
2018120209,1592,80668,2550656,0.337
2018121700,3745,80668,2560878,0.33
2018092302,3248,80668,2558127,0.186
2018122304,2552,80668,2560854,0.177
2018110402,1801,80668,2553895,0.053
2018091600,3506,80668,2533040,0.04
2018120209,2917,80668,2558105,0.012
2018111803,3232,80668,2543646,-0.068
2018122304,2102,80668,2555415,-0.086
2018120209,2109,80668,2556508,-0.116
2018112502,712,80668,2552430,-0.122
2018090910,3130,80668,2534436,-0.142
2018112502,759,80668,2530747,-0.175
2018120209,51,80668,2553895,-0.193
2018091600,267,80668,2495454,-0.2
2018090910,2580,80668,2535698,-0.274
2018102108,2209,80668,2540158,-0.418
2018112502,1503,80668,2552430,-0.421
2018090910,523,80668,2560735,-0.555
2018092302,1344,80668,2555466,-0.564
2018110402,2668,80668,2553895,-0.581
2018102801,3022,80668,2550256,-0.765
2018100701,2925,80668,2555295,-0.773
2018090910,499,80668,2535698,-1.219
2018112502,3908,80668,2552430,-1.334
2018121700,3548,80668,2561224,-1.399
2018122308,3780,89756,2558129,2.778
2018093006,1587,89756,2649,1.862
2018112505,4127,89756,2532887,1.819
2018122308,3549,89756,2558129,1.705
2018110410,3787,89756,2560883,1.555
2018111108,615,89756,2555317,1.501
2018100400,4095,89756,2558877,1.463
2018102900,4232,89756,2557863,1.338
2018122308,1194,89756,2558129,1.072
2018111108,147,89756,2557848,1.065
2018110410,1005,89756,2560907,1.005
2018102900,1538,89756,2557863,0.913
2018100400,3728,89756,2558877,0.109
2018120212,3400,89756,2541785,0.054
2018101412,1714,89756,2540258,0.002
2018091612,1759,89756,2559153,0.001
2018092313,664,89756,2532884,-0.145
2018100400,1167,89756,2543759,-0.177
2018120212,3599,89756,2541785,-0.18
2018123006,3694,89756,2561358,-0.194
2018122308,4111,89756,2557863,-0.21
2018102900,256,89756,2557863,-0.219
2018091612,2041,89756,2559153,-0.223
2018120906,940,89756,2540202,-0.243
2018102900,4784,89756,2560801,-0.246
2018091612,2283,89756,2559153,-0.249
2018102900,1893,89756,2495453,-0.323
2018091612,1645,89756,2559153,-0.403
2018110410,3044,89756,2495448,-0.467
2018092313,374,89756,2558052,-0.556
2018120212,1834,89756,2541785,-0.648
2018121610,1122,89756,2508061,-0.786
2018121610,1413,89756,2508061,-0.887
2018100400,4025,89756,2556855,-1.222
2018110410,2435,89756,2560907,-1.872
2018121610,2216,89756,2560920,-2.488
2018093006,3567,89756,2540202,-3.065
2018101412,2072,89756,2557917,-4.351
2018111104,82,494259,2560742,0.144
2018100705,1636,494259,2540258,0.113
2018111104,3826,494259,2560742,-0.069
2018091612,3644,494259,2552424,-0.484
2018101410,1749,494259,2535698,-0.588
2018123007,837,494261,2560894,-0.046
2018093011,925,494261,2550599,-0.403
2018121608,1489,494277,2550198,-0.378
2018101411,1714,494277,2560957,-0.803
2018102102,2157,494287,2558250,1.223
2018100400,2509,494287,2560742,1.03
2018110410,1760,494287,497236,0.423
2018120212,2102,494287,2557991,0.232
2018101412,1881,494287,2540258,-0.103
2018121610,258,494287,2560862,-0.32
2018100400,2708,494287,2543466,-0.814
2018100400,3390,494287,2543466,-0.825
2018101412,3263,494287,2556214,-0.848
2018100400,3442,494287,2550405,-0.99
2018101412,2851,494287,2556214,-1.068
2018111108,1945,494287,2558942,-1.244
2018100400,4508,494287,2550405,-2.002
2018121603,2401,494289,2495448,2.661
2018123005,4036,494289,2560243,2.288
2018121603,4436,494289,2543495,0.844
2018122312,900,494289,2558914,0.691
2018120901,2153,494289,2540169,-0.034
2018121603,296,494289,2495448,-0.173
2018091700,4128,494289,2541966,-1.898
2018121501,2262,494307,2560988,0.054
2018122400,761,494307,71265,0.054
2018111808,3940,494307,2495288,-0.037
2018092301,2826,494307,2552402,-0.413
2018101409,1533,494307,2540169,-0.614
2018112509,3055,496727,497322,2.551
2018122313,3394,496727,2561224,2.004
2018123009,677,496727,2555331,1.885
2018090901,5211,496727,2543488,0.26
2018122313,4027,496727,2541834,-0.116
2018091605,2996,496727,2540258,-0.197
2018120913,1140,496727,71265,-0.494
2018110400,94,496727,2560957,-0.533
2018120913,4030,496727,2550597,-1.799
2018102807,4216,496727,2556365,-4.787
2018101401,327,496733,2495450,2.287
2018102807,1497,496733,2561054,2.036
2018123009,2676,496733,2558010,1.895
2018093012,1758,496733,2543847,1.363
2018093012,2868,496733,2543847,1.201
2018092400,1951,496733,2558105,1.178
2018102807,4194,496733,2561054,1.076
2018093012,2456,496733,2543847,1.072
2018092400,3723,496733,2558105,0.984
2018101401,3172,496733,2495450,0.952
2018093012,2047,496733,2550256,0.724
2018092400,4121,496733,2543468,0.702
2018100707,3447,496733,2495454,0.645
2018101401,602,496733,2495450,0.597
2018121610,1909,496733,238498,0.524
2018112509,95,496733,2561002,0.461
2018123009,1887,496733,2558010,0.406
2018122313,4331,496733,2556370,0.151
2018101401,1961,496733,2495450,0.043
2018101401,624,496733,2495450,-0.016
2018122313,245,496733,2556370,-0.021
2018120913,3425,496733,2560961,-0.033
2018102807,3396,496733,2543488,-0.048
2018110400,457,496733,71269,-0.143
2018121610,1547,496733,238498,-0.157
2018102807,4119,496733,2560988,-0.168
2018121610,1832,496733,2540145,-0.189
2018110400,1505,496733,2560957,-0.205
2018121610,1931,496733,2540145,-0.227
2018093012,3854,496733,2550256,-0.236
2018121610,427,496733,2540145,-0.242
2018111810,2754,496733,2561018,-0.324
2018120208,3879,496733,2540154,-0.33
2018110800,1653,496733,2560813,-0.366
2018102807,222,496733,2560988,-0.402
2018093012,2411,496733,2543847,-0.535
2018122313,4129,496733,2556370,-0.608
2018100707,3324,496733,2495454,-0.638
2018112509,2803,496733,497322,-0.669
2018122313,4377,496733,2556370,-0.685
2018101401,1447,496733,2552559,-0.755
2018101401,3770,496733,2495450,-0.785
2018100707,3086,496733,2495454,-0.97
2018093012,3242,496733,2550256,-1.298
2018101401,3018,496733,2495450,-1.512
2018120913,3599,496733,1032,-2.892
2018100712,1634,496735,2539336,3.552
2018123003,797,496735,2543614,3.441
2018091607,307,496735,2555317,3.056
2018110407,2190,496735,2560888,1.371
2018101403,2116,496735,2557863,1.133
2018123003,206,496735,2557895,0.719
2018123003,2934,496735,2557895,0.706
2018123003,3685,496735,2561018,0.554
2018120904,4029,496735,2532865,0.525
2018093004,4895,496735,2556396,0.328
2018122310,411,496735,497326,0.198
2018091607,3400,496735,2557848,-0.006
2018120904,51,496735,2556396,-0.008
2018100712,3952,496735,2535698,-0.047
2018102104,3518,496735,2543614,-0.067
2018121500,678,496735,2556462,-0.07
2018102104,2557,496735,2543614,-0.077
2018110407,1847,496735,497322,-0.077
2018101403,3821,496735,2557863,-0.1
2018120904,2445,496735,2556396,-0.132
2018102104,2627,496735,2559153,-0.16
2018111806,838,496735,2540160,-0.164
2018102500,174,496735,2552409,-0.213
2018111806,999,496735,2560847,-0.327
2018121500,645,496735,2556462,-0.37
2018121500,479,496735,2532903,-0.58
2018111806,489,496735,2532841,-0.639
2018123003,3532,496735,2543614,-0.649
2018091607,1115,496735,2557848,-0.731
2018122310,198,496735,2540158,-0.772
2018111806,3354,496735,2555343,-0.964
2018110407,3896,496735,497322,-1.051
2018092303,1692,496735,2543496,-1.426
2018120904,3678,496735,2532865,-1.513
2018090903,3578,496739,2495966,5.316
2018091604,1316,496739,2556462,0.283
2018112504,2753,496739,2543466,0.065
2018090903,2894,496739,2557848,-0.45
2018120211,995,496828,2560738,-0.008
2018123011,2227,496828,2543466,-0.331
2018091613,1293,496937,2557858,-0.131
2018110500,2068,496937,2558207,-0.437
2018102110,2332,496937,2550542,-0.959
2018110500,1599,496937,2553896,-1.754
2018091609,3191,1037374,2558208,3.109
2018092700,2145,1037374,2552608,1.7
2018100711,949,1037374,2558856,0.98
2018092700,3105,1037374,2541785,0.175
2018092310,2265,1037374,2505299,-0.067
2018101409,3930,1037374,2560888,-0.155
2018092700,215,1037374,2555214,-0.175
2018092700,3319,1037374,2541785,-0.214
2018092700,2086,1037374,2552608,-0.251
2018111900,1007,1037374,2556214,-0.272
2018111110,2484,1037374,2558856,-0.364
2018092700,1702,1037374,2541785,-0.911
2018111900,1032,1037374,2556214,-1.053
2018111900,1524,1037374,2556214,-1.233
2018102102,3411,2495108,2537931,2.715
2018092311,539,2495108,2559248,2.355
2018120207,1257,2495108,2543496,1.192
2018111100,2542,2495108,2532884,1.149
2018120901,1481,2495108,2543498,0.74
2018091700,691,2495108,2495893,0.679
2018110401,3252,2495108,2543471,0.64
2018123005,98,2495108,2552608,0.617
2018121603,1713,2495108,2543495,0.531
2018121603,4358,2495108,2543495,0.214
2018090912,3006,2495108,2543495,0.186
2018120901,1459,2495108,2543498,0.152
2018123005,3384,2495108,2495331,0.146
2018102802,1596,2495108,2560985,0.142
2018122312,1854,2495108,2539964,0.049
2018123005,1928,2495108,2552608,0.049
2018111100,1444,2495108,2558052,-0.01
2018111802,1908,2495108,2541785,-0.036
2018120207,1933,2495108,2543496,-0.04
2018090912,3030,2495108,2543495,-0.079
2018111802,2381,2495108,2541785,-0.088
2018122312,1879,2495108,2558202,-0.137
2018112200,718,2495108,2543646,-0.158
2018120901,1690,2495108,2543498,-0.168
2018111100,419,2495108,2532884,-0.199
2018122312,1070,2495108,2560836,-0.225
2018111802,2453,2495108,2541785,-0.243
2018102802,3478,2495108,2560985,-0.26
2018121603,2162,2495108,2543495,-0.264
2018111802,4479,2495108,2552608,-0.268
2018091700,1888,2495108,2495893,-0.282
2018091700,1072,2495108,2495893,-0.3
2018122312,3243,2495108,2560761,-0.324
2018111100,294,2495108,2558052,-0.451
2018122312,1293,2495108,2539964,-0.465
2018091700,646,2495108,2495893,-0.551
2018121603,3843,2495108,2543495,-0.556
2018121603,1168,2495108,2543495,-0.654
2018102102,3854,2495108,2537931,-0.665
2018092311,96,2495108,2560781,-0.68
2018111100,1516,2495108,2558052,-0.844
2018102802,2997,2495108,2560985,-1.033
2018090912,2958,2495108,2543495,-1.051
2018121603,2700,2495108,2543495,-1.392
2018111802,3872,2495108,2495331,-1.663
2018111802,4548,2495108,2552608,-1.78
2018111100,3745,2495108,2558052,-2.101
2018123005,2462,2495108,2541785,-2.725
2018102802,3062,2495108,497320,-3.459
2018110406,1351,2495136,2495826,-0.626
2018110406,2636,2495136,2556404,-2.459
2018122400,3795,2495153,2558985,2.148
2018111109,2131,2495153,2540154,0.769
2018111807,2533,2495153,2552656,0.659
2018122400,1088,2495153,2561002,0.062
2018102808,3134,2495153,2532865,-0.321
2018092306,679,2495153,2649,-0.333
2018122400,2073,2495153,2560888,-0.381
2018110100,998,2495153,2558914,-0.729
2018120210,2258,2495153,2540258,-0.865
2018093009,1695,2495153,2543488,-1.047
2018110100,904,2495153,2561060,-1.16
2018122400,2796,2495153,2561002,-1.692
2018120210,3387,2495153,2541187,-2.075
2018092306,1142,2495153,2540202,-2.505
2018091602,4272,2495170,2555214,-0.223
2018091602,1910,2495170,2552608,-0.4
2018102806,3110,2495190,2555295,0.753
2018101409,2538,2495202,2540169,-0.943
2018100712,3083,2495251,2534436,3.047
2018093004,1147,2495251,2558877,2.141
2018110407,567,2495251,2560888,1.982
2018111806,3284,2495251,2555343,0.994
2018093004,1659,2495251,2543759,0.957
2018101403,1211,2495251,2495139,0.569
2018093004,1485,2495251,2558877,0.457
2018093004,3870,2495251,2558877,-0.071
2018110407,3828,2495251,2558985,-0.107
2018120204,4002,2495251,2555468,-0.176
2018120904,3156,2495251,2532865,-0.267
2018092303,1605,2495251,2555295,-0.327
2018093004,4826,2495251,2558877,-0.435
2018093004,211,2495251,2558877,-0.606
2018120204,846,2495251,2543488,-0.798
2018093004,3916,2495251,2558877,-0.897
2018100712,94,2495251,2534436,-1.141
2018120904,3187,2495251,2558877,-1.286
2018121500,2350,2495251,2556462,-2.014
2018123003,2572,2495251,2559153,-2.159
2018121500,2475,2495251,497320,-2.241
2018101403,2868,2495251,2557863,-2.325
2018102804,1922,2495252,2541199,0.456
2018102804,2832,2495252,2541199,-0.051
2018110408,555,2495252,2553913,-0.145
2018090906,534,2495272,2506122,-0.41
2018123012,1453,2495281,2540158,-0.125
2018112201,123,2495281,2536044,-0.131
2018091608,2032,2495281,2540232,-0.271
2018100800,1031,2495281,2556370,-0.279
2018091608,822,2495281,2560933,-0.353
2018102806,2839,2495281,2550198,-0.759
2018110406,302,2495281,2555415,-0.804
2018120300,2323,2495281,497326,-0.899
2018122200,2530,2495281,2552401,-1.149
2018120900,4101,2495343,2557863,2.301
2018100706,199,2495343,497322,1.394
2018123006,2135,2495343,2530515,1.333
2018093005,3753,2495343,2557895,0.731
2018122309,4562,2495343,2560907,0.718
2018120900,3689,2495343,2558129,0.651
2018122309,1576,2495343,2543495,0.605
2018110404,96,2495343,2649,0.386
2018120211,4195,2495343,2555317,0.029
2018123006,1713,2495343,238498,0.001
2018091604,374,2495343,2649,-0.028
2018091000,1864,2495343,497326,-0.041
2018122309,294,2495343,2560883,-0.059
2018091604,1433,2495343,2550272,-0.082
2018093005,4185,2495343,2557895,-0.107
2018110404,3276,2495343,2649,-0.153
2018093005,3880,2495343,2557895,-0.21
2018100706,748,2495343,2561002,-0.263
2018122309,3031,2495343,2560907,-0.273
2018123006,934,2495343,238498,-0.309
2018111106,2621,2495343,2557863,-0.41
2018091000,3269,2495343,2558052,-0.464
2018120900,3049,2495343,2558129,-0.492
2018111106,1213,2495343,2557863,-0.542
2018121500,3804,2495343,497328,-0.602
2018093005,2473,2495343,2559153,-0.763
2018112505,3437,2495343,238498,-0.899
2018091604,1081,2495343,2649,-1.158
2018111106,888,2495343,2557863,-1.562
2018111106,2867,2495343,2557863,-1.571
2018091000,2129,2495343,497326,-2.354
2018102802,2540,2495343,2560810,-2.791
2018122314,775,2495493,2541966,-0.214
2018101800,2442,2495504,497322,4.827
2018091609,2124,2495504,2543498,2.932
2018101800,1424,2495504,2560888,1.61
2018121600,51,2495504,2495454,1.326
2018100710,3976,2495504,2558912,1.119
2018111807,567,2495504,497302,0.508
2018120203,1713,2495504,2543495,0.414
2018121600,2191,2495504,2495454,-0.055
2018101405,200,2495504,2555214,-0.075
2018121600,2577,2495504,2561061,-0.244
2018111105,60,2495504,2556214,-0.387
2018102809,2545,2495504,2539964,-0.415
2018091609,123,2495504,2540169,-0.462
2018112508,2711,2495504,2532790,-0.505
2018100710,4510,2495504,2558912,-1.67
2018111807,1402,2495504,497302,-1.81
2018122311,1480,2495504,2543498,-1.946
2018121600,2295,2495504,2495454,-2.995
2018092305,698,2495507,2556214,2.498
2018102809,3916,2495507,2552656,2.072
2018102809,176,2495507,2506106,1.733
2018111200,3719,2495507,2543496,0.558
2018120910,745,2495507,2561002,0.245
2018120910,4278,2495507,2555223,0.137
2018110100,2730,2495507,2543572,0.073
2018123014,2542,2495507,2558194,0.034
2018111200,1322,2495507,2543496,-0.116
2018120910,3142,2495507,2558985,-0.122
2018112507,3129,2495507,2558105,-0.156
2018102809,2622,2495507,2506106,-0.176
2018102809,1010,2495507,2558208,-0.258
