"position","displayName","route","nflId_def","eps_man_coverage","routes","accurate_targets","completions_allowed","PB","INT","T","FF","eps_tracking","eps_closing","eps_ball_skills","eps_tackling","eps_man_coverage_no_tackling"
"OLB","Nigel Bradham","ANGLE",2532800,1.62384780015269,6,1,1,0,0,0.5,0,0.514694279024211,1.08905681237303,0.027172229149902,-0.00707552039445164,1.63092332054714
"LB","Roquan Smith","ANGLE",2560877,1.16580361422727,5,0,0,0,0,0,0,0.374904112150618,0.790899502076655,0,0,1.16580361422727
"ILB","Nicholas Morrow","ANGLE",2559054,1.09122460237577,1,0,0,0,0,0,0,-0.0922689206821604,1.18349352305793,0,0,1.09122460237577
"SS","Bradley McDougald","ANGLE",2539243,1.0394713591773,2,1,1,0,0,0,0,0.153573067158425,1.45284842861952,-0.976294443189375,0.409344306588727,0.63012705258857
"LB","Fred Warner","ANGLE",2560917,0.855973485051035,1,1,1,0,0,1,0,0.167555348730519,0.636419112833758,-0.036017253636435,0.0880162771231935,0.767957207927842
"MLB","Deion Jones","ANGLE",2555162,0.743378018315712,1,0,0,0,0,0,0,0.0801488286529393,0.663229189662773,0,0,0.743378018315712
"OLB","Thomas Davis","ANGLE",2506352,0.728342499158148,6,0,0,0,0,0,0,0.438573783077915,0.289768716080233,0,0,0.728342499158148
"MLB","Bobby Wagner","ANGLE",2532966,0.710654501360552,1,0,0,0,0,0,0,-0.148996951562315,0.859651452922867,0,0,0.710654501360552
"OLB","Anthony Barr","ANGLE",2543459,0.702923612417841,3,0,0,0,0,0,0,0.364593789618907,0.338329822798934,0,0,0.702923612417841
"OLB","Myles Jack","ANGLE",2555329,0.675203432577603,2,0,0,0,0,0,0,0.0955430706673507,0.579660361910252,0,0,0.675203432577603
"MLB","Adarius Taylor","ANGLE",2550565,0.669304505215176,3,1,0,1,0,0,0,0.265064125537338,0.12583085336801,0.278409526309828,0,0.669304505215176
"ILB","Gerald Hodges","ANGLE",2539293,0.616653443012831,2,2,2,0,0,2,0,-0.205926083488372,0,-0.00530915833946671,0.82788868484067,-0.211235241827839
