"qualifying","position","displayName","nflId_def","targets","completions","interceptions","completion_perc","interception_perc","e_comp_perc","e_int_perc","completions_saved","completions_saved_per_target","interceptions_created","interceptions_created_per_target","expected_epa","actual_epa","epa_pass_arrived_avg","epa_result_avg","eps_saved_ball_skills","eps_saved_ball_skills_per_target","eps_int_returns","ball_hawk_ints","ball_hawk_ints_eps","ball_hawk_eps_int_returns","ball_hawk_pbus","ball_hawk_pbus_eps","ball_skills_penalties","avg_ball_skills_penalties_eps","ball_skills_penalties_eps","PB","routes","e_ball_hawk_eps","eps_saved_ball_skills_per_target_w_penalties","eps_saved_ball_skills_w_penalties","hands_on_ball_plays","hands_on_ball_rate","eps_ball_hawk"
1,"CB","Xavien Howard",2555539,28,14,4,0.5,0.142857142857143,0.677447957142857,0.0445856814967857,4.9685428,0.177447957142857,2.75160091809,0.0982714613603572,24.2755709862298,2.66680413912919,0.866984678079635,0.0952430049688996,21.6087668471006,0.771741673110735,3.15276403299496,0,0,0,0,0,1,-1.13414473719041,-1.13414473719041,4,228,0.733657145688876,0.706021452065868,21.4820069417741,8,0.275862068965517,-0.733657145688876
1,"CB","Ronald Darby",2552689,36,23,0,0.638888888888889,0,0.714239544722222,0.0312050156252778,2.71262361,0.0753506558333334,-1.12338056251,-0.0312050156252778,21.6800299429467,10.2667150075154,0.602223053970743,0.285186527986538,11.4133149354314,0.317036525984204,0,0,0,0,1,0.86023730573376,0,0,0,9,221,0.711132584198428,0.317036525984204,12.6638616232624,9,0.25,0.149104721535332
1,"CB","Marlon Humphrey",2558067,29,12,2,0.413793103448276,0.0689655172413793,0.553307785241379,0.0571326893534483,4.045925772,0.139514681793103,0.34315200875,0.011832827887931,10.2487345964506,-1.98058896545448,0.353404641256918,-0.0682961712225684,12.2293235619051,0.421700812479487,2.50678603317305,0,0,0,0,0,1,-1.05221250975105,-1.05221250975105,7,257,0.826973186149303,0.372570368405136,12.2192332920133,9,0.3,-0.826973186149303
1,"CB","Captain Munnerlyn",80668,33,22,1,0.666666666666667,0.0303030303030303,0.764870567575758,0.0221410645184848,3.24072873,0.0982039009090909,0.26934487089,0.00816196578454545,19.7166407351803,9.71634639335975,0.597473961672131,0.29443473919272,10.0002943418206,0.303039222479411,0.071632059896773,0,0,0,0,0,0,0,0,6,175,0.563114037261198,0.303039222479411,11.1466288056657,7,0.212121212121212,-0.563114037261198
1,"CB","Kyle Fuller",2543681,52,33,5,0.634615384615385,0.0961538461538462,0.631767775461539,0.0510815607671154,-0.148075675999998,-0.00284760915384611,2.34375884011,0.0450722853867308,16.8759760049647,8.44245294224459,0.324538000095474,0.162354864273935,8.43352306272007,0.16218313582154,0.874134578732516,0,0,0,0,0,0,0,0,7,385,1.23885088197464,0.16218313582154,10.239868278476,12,0.230769230769231,-1.23885088197464
1,"CB","Brandon Carr",4365,29,14,2,0.482758620689655,0.0689655172413793,0.598239275,0.0572733066489655,3.348938975,0.115480654310345,0.33907410718,0.0116922105924138,16.0187276942703,3.87192329210558,0.552369920492081,0.133514596279503,12.1468044021648,0.418855324212578,1.56978283816261,0,0,0,0,0,2,-1.61263805208957,-3.22527610417913,8,282,0.907418048615188,0.287791235418891,9.99838794584013,10,0.32258064516129,-0.907418048615188
1,"CB","Holton Hill",2560741,11,6,1,0.545454545454545,0.0909090909090909,0.694137973636364,0.0419704733954545,1.63551771,0.148683428181818,0.53832479265,0.0489386175136364,8.14047032085822,-1.01374173435254,0.740042756441657,-0.0921583394865944,9.15421205521076,0.832201095928251,-0.135284644012549,0,0,0,2,2.37634259359388,1,-0.498316848229827,-0.498316848229827,5,112,0.360392983847167,0.721324600581744,9.07274410292461,6,0.5,2.01594960974671
1,"CB","Justin Coleman",2553637,27,16,1,0.592592592592593,0.037037037037037,0.719511711481482,0.0284432062774074,3.42681621,0.126919118888889,0.23203343051,0.00859383075962963,15.2714055477456,5.79643351567779,0.565607612879468,0.214682722802881,9.47497203206784,0.350924890076587,-0.0154651735454872,0,0,0,0,0,1,-1.39913216873767,-1.39913216873767,5,178,0.572767420757105,0.288422852261792,9.04848728719876,6,0.214285714285714,-0.572767420757105
1,"S","Minkah Fitzpatrick",2560725,23,12,1,0.521739130434783,0.0434782608695652,0.626446051304348,0.047852644086087,2.40825918,0.104706920869565,-0.10061081398,-0.00437438321652174,12.2244361364388,1.18945228953694,0.531497223323425,0.0517153169363885,11.0349838469018,0.479781906387037,-0.129559986780506,0,0,0,0,0,4,-1.15147163297617,-4.60588653190468,6,222,0.714350378697063,0.238114715370265,7.36700733087044,7,0.259259259259259,-0.714350378697063
1,"CB","A.J. Bouye",2541162,32,23,1,0.71875,0.03125,0.7289435784375,0.02234899577875,0.326194510000001,0.0101935784375,0.28483213508,0.00890100422125,13.6640986934841,7.69482884127899,0.42700308417138,0.240463401289968,5.96926985220516,0.186539682881411,-1.02522286759263,0,0,0,0,0,0,0,0,5,281,0.904200254116553,0.186539682881411,7.08086690805497,6,0.1875,-0.904200254116553
1,"CB","Jimmy Smith",2508107,30,21,1,0.7,0.0333333333333333,0.706291654333333,0.0228883593946667,0.18874963,0.00629165433333334,0.31334921816,0.0104449739386667,19.3347024899182,12.8449602390302,0.644490082997274,0.428165341301005,6.48974225088807,0.216324741696269,-0.0223165489204158,0,0,0,0,0,1,-0.500986111348516,-0.500986111348516,7,212,0.682172433710709,0.193185681920631,7.06561578739406,8,0.258064516129032,-0.682172433710709
