"position","displayName","nflId_def","route","targets","completions","interceptions","eps_saved_ball_skills","eps_saved_ball_skills_per_target","PB"
"CB","A.J. Bouye",2541162,"CROSS",2,1,1,4.6599124194009,2.32995620970045,0
"CB","A.J. Bouye",2541162,"FLAT",1,1,0,-0.046738412737739,-0.046738412737739,0
"CB","A.J. Bouye",2541162,"GO",3,2,0,-1.12148193167205,-0.373827310557351,0
"CB","A.J. Bouye",2541162,"HITCH",6,5,0,-1.05456310425292,-0.175760517375487,0
"CB","A.J. Bouye",2541162,"IN",6,3,0,3.29415730196356,0.549026216993926,3
"CB","A.J. Bouye",2541162,"OUT",8,7,0,-1.84435553246431,-0.230544441558039,1
"CB","A.J. Bouye",2541162,"POST",1,0,0,2.51315035090063,2.51315035090063,0
"CB","A.J. Bouye",2541162,"SCREEN",1,1,0,-0.0932830345306,-0.0932830345306,0
"CB","A.J. Bouye",2541162,"SLANT",4,3,0,-0.337528204402306,-0.0843820511005764,1
"CB","Aaron Colvin",2543501,"CROSS",1,0,0,1.17603180573924,1.17603180573924,0
"CB","Aaron Colvin",2543501,"GO",3,2,0,0.00269966853120351,0.000899889510401171,1
"CB","Aaron Colvin",2543501,"HITCH",1,0,0,-0.216422321520849,-0.216422321520849,0
"CB","Aaron Colvin",2543501,"IN",1,1,0,-0.708873320809519,-0.708873320809519,0
"CB","Aaron Colvin",2543501,"OUT",2,2,0,-0.760195173145951,-0.380097586572975,0
"CB","Aaron Colvin",2543501,"SLANT",5,5,0,-1.82270624739979,-0.364541249479958,0
"CB","Adam Jones",2506345,"CROSS",1,0,0,2.11887628386284,2.11887628386284,1
"CB","Adam Jones",2506345,"HITCH",1,1,0,-0.160453045931854,-0.160453045931854,0
"CB","Adam Jones",2506345,"IN",1,1,0,-0.020516318351421,-0.020516318351421,0
"CB","Adam Jones",2506345,"POST",1,1,0,-0.38697810046573,-0.38697810046573,0
"MLB","Adarius Taylor",2550565,"ANGLE",1,0,0,0.278409526309828,0.278409526309828,1
"MLB","Adarius Taylor",2550565,"CROSS",3,3,0,0.25700545517271,0.0856684850575699,0
"MLB","Adarius Taylor",2550565,"FLAT",2,2,0,-0.411986243642334,-0.205993121821167,0
"MLB","Adarius Taylor",2550565,"GO",2,2,0,-3.58953876085966,-1.79476938042983,0
"MLB","Adarius Taylor",2550565,"OUT",2,1,0,0.63143486989836,0.31571743494918,1
"CB","Adoree' Jackson",2558065,"CORNER",4,4,0,-6.21337380000175,-1.55334345000044,0
"CB","Adoree' Jackson",2558065,"CROSS",2,2,0,-0.102081046102675,-0.0510405230513377,0
"CB","Adoree' Jackson",2558065,"GO",9,5,0,-2.17689954232742,-0.241877726925269,2
"CB","Adoree' Jackson",2558065,"HITCH",9,7,1,0.0928817291283508,0.0103201921253723,1
"CB","Adoree' Jackson",2558065,"IN",3,2,0,0.78104037653867,0.260346792179557,0
"CB","Adoree' Jackson",2558065,"OUT",6,6,0,-2.06050240217401,-0.343417067029001,0
"CB","Adoree' Jackson",2558065,"POST",2,0,1,2.85168599160121,1.42584299580061,0
"CB","Adoree' Jackson",2558065,"SCREEN",1,1,0,-0.254042335275262,-0.254042335275262,0
"CB","Adoree' Jackson",2558065,"SLANT",5,3,0,0.139219482437708,0.0278438964875417,1
"FS","Adrian Amos",2552385,"CROSS",1,0,0,-0.147402817997705,-0.147402817997705,1
"FS","Adrian Amos",2552385,"FLAT",2,1,0,1.5215770298858,0.760788514942899,1
"FS","Adrian Amos",2552385,"OUT",1,1,0,0.186097307644085,0.186097307644085,0
"SS","Adrian Phillips",2550842,"CROSS",2,1,0,0.13748103733639,0.068740518668195,1
"SS","Adrian Phillips",2550842,"OUT",3,2,0,0.129910294807196,0.0433034316023987,0
"SS","Adrian Phillips",2550842,"POST",1,1,0,-0.40624390119853,-0.40624390119853,1
"CB","Ahkello Witherspoon",2558157,"CORNER",1,1,0,-1.85957354453678,-1.85957354453678,0
"CB","Ahkello Witherspoon",2558157,"CROSS",3,2,0,0.58001199873409,0.193337332911363,0
"CB","Ahkello Witherspoon",2558157,"GO",9,2,0,4.09889889007937,0.455433210008819,2
"CB","Ahkello Witherspoon",2558157,"HITCH",2,2,0,-0.496923586225597,-0.248461793112798,0
"CB","Ahkello Witherspoon",2558157,"IN",1,0,0,-0.735215950084083,-0.735215950084083,0
"CB","Ahkello Witherspoon",2558157,"OUT",5,5,0,-1.64986880348484,-0.329973760696968,0
"CB","Ahkello Witherspoon",2558157,"POST",1,0,0,-0.227435401975119,-0.227435401975119,0
"CB","Ahkello Witherspoon",2558157,"SCREEN",1,1,0,0.29628530687908,0.29628530687908,0
"CB","Ahkello Witherspoon",2558157,"SLANT",4,3,0,-0.325412656192712,-0.081353164048178,1
"CB","Akeem King",2553456,"CORNER",1,1,0,-0.58401805717892,-0.58401805717892,0
"CB","Akeem King",2553456,"FLAT",1,1,0,0.119980937073767,0.119980937073767,0
"CB","Akeem King",2553456,"GO",1,0,0,1.83518652652987,1.83518652652987,0
"CB","Akeem King",2553456,"HITCH",1,1,0,-0.395094003714331,-0.395094003714331,0
"CB","Akeem King",2553456,"OUT",1,1,0,0.0295178373801441,0.0295178373801441,0
"CB","Akeem King",2553456,"POST",1,1,0,-0.28679829644672,-0.28679829644672,0
"CB","Akeem King",2553456,"SLANT",1,1,0,-0.780028943411493,-0.780028943411493,0
"LB","Alec Ogletree",2540143,"CROSS",4,4,0,-1.37729317625536,-0.344323294063839,0
"LB","Alec Ogletree",2540143,"OUT",2,2,0,-0.0560653879335617,-0.0280326939667809,0
"OLB","Alex Anzalone",2558163,"CROSS",3,3,0,0.0184255707480128,0.00614185691600426,0
"OLB","Alex Anzalone",2558163,"HITCH",2,2,0,-0.428908037929841,-0.214454018964921,0
"OLB","Alex Anzalone",2558163,"SLANT",2,2,0,-0.437627857618771,-0.218813928809385,0
"FS","Andre Hal",2543874,"HITCH",1,1,0,-1.92449116787835,-1.92449116787835,0
"FS","Andrew Adams",2556456,"HITCH",1,1,0,-0.339295447802617,-0.339295447802617,0
"FS","Andrew Adams",2556456,"IN",1,1,0,-0.068288463232566,-0.068288463232566,0
"FS","Andrew Adams",2556456,"OUT",4,3,0,-3.39595450154601,-0.848988625386503,1
"FS","Andrew Adams",2556456,"SLANT",1,0,0,-0.14098894617379,-0.14098894617379,1
"CB","Anthony Averett",2560963,"GO",3,1,0,1.57741109605468,0.525803698684893,2
"OLB","Anthony Barr",2543459,"CROSS",1,1,0,-3.63650296796119,-3.63650296796119,0
"OLB","Anthony Barr",2543459,"FLAT",1,1,0,0.515995253282141,0.515995253282141,0
"OLB","Anthony Barr",2543459,"GO",1,1,0,-1.4151470978662,-1.4151470978662,0
"OLB","Anthony Barr",2543459,"SCREEN",2,2,0,-0.555728434904313,-0.277864217452156,0
"CB","Anthony Brown",2555531,"CROSS",8,5,0,-1.65560598712508,-0.206950748390634,3
"CB","Anthony Brown",2555531,"GO",5,2,0,-2.30361135646067,-0.460722271292133,1
"CB","Anthony Brown",2555531,"HITCH",3,3,0,-1.68167751422422,-0.560559171408074,0
"CB","Anthony Brown",2555531,"OUT",4,4,0,0.0169435512733747,0.00423588781834366,0
"CB","Anthony Brown",2555531,"POST",1,1,0,-0.604886962474774,-0.604886962474774,0
"CB","Anthony Brown",2555531,"SLANT",1,0,0,0.782153164770265,0.782153164770265,1
"OLB","Anthony Chickillo",2552266,"FLAT",1,1,0,-1.43949078324849,-1.43949078324849,0
"OLB","Anthony Chickillo",2552266,"HITCH",1,1,0,-0.474434562671198,-0.474434562671198,0
"FS","Anthony Harris",2553655,"CROSS",1,1,0,-0.030716299230885,-0.030716299230885,0
"FS","Anthony Harris",2553655,"FLAT",1,1,0,-0.130263325781135,-0.130263325781135,0
"FS","Anthony Harris",2553655,"IN",1,1,0,-0.276591528516178,-0.276591528516178,0
"MLB","Anthony Hitchens",2543592,"ANGLE",1,1,0,-0.286870824745685,-0.286870824745685,0
"MLB","Anthony Hitchens",2543592,"CROSS",2,2,0,-0.670591570608454,-0.335295785304227,0
"MLB","Anthony Hitchens",2543592,"HITCH",1,1,0,-0.067742583886966,-0.067742583886966,0
"DB","Anthony Levine",2508004,"CORNER",1,1,0,-1.47892135857394,-1.47892135857394,0
"DB","Anthony Levine",2508004,"IN",1,1,0,-0.469929240441219,-0.469929240441219,0
"ILB","Anthony Walker",2558851,"CROSS",1,0,0,0.743696080966012,0.743696080966012,0
"ILB","Anthony Walker",2558851,"FLAT",1,1,0,-0.0241573691554723,-0.0241573691554723,0
"ILB","Anthony Walker",2558851,"GO",1,1,0,-0.78777512234286,-0.78777512234286,0
"ILB","Anthony Walker",2558851,"HITCH",2,1,0,-0.185955800830078,-0.0929779004150389,0
"ILB","Anthony Walker",2558851,"IN",1,1,0,-0.689987394826391,-0.689987394826391,0
"ILB","Anthony Walker",2558851,"OUT",2,2,0,-0.567109254843606,-0.283554627421803,0
"ILB","Anthony Walker",2558851,"SCREEN",1,1,0,-0.56267598502342,-0.56267598502342,0
"FS","Antoine Bethea",2495807,"CROSS",3,1,0,2.45425363648637,0.818084545495456,1
"FS","Antoine Bethea",2495807,"FLAT",1,1,0,-0.105281853220788,-0.105281853220788,0
"FS","Antoine Bethea",2495807,"GO",1,0,0,2.00879738594883,2.00879738594883,1
"FS","Antoine Bethea",2495807,"IN",1,0,0,-0.021677872979071,-0.021677872979071,0
"FS","Antoine Bethea",2495807,"OUT",2,2,0,-0.443241994879927,-0.221620997439963,0
"FS","Antoine Bethea",2495807,"POST",1,1,0,-0.372115425307149,-0.372115425307149,0
"FS","Antone Exum",2543680,"GO",1,0,0,1.37573389254981,1.37573389254981,1
"FS","Antone Exum",2543680,"OUT",2,2,0,-0.246821329524815,-0.123410664762407,0
"ILB","Antonio Morrison",2555160,"CROSS",1,1,0,-0.54510841270396,-0.54510841270396,0
"ILB","Antonio Morrison",2555160,"FLAT",1,1,0,-0.111987697423527,-0.111987697423527,0
"CB","Aqib Talib",1302,"GO",1,1,0,-1.81869585426461,-1.81869585426461,0
"CB","Aqib Talib",1302,"HITCH",2,2,0,-0.164742953546297,-0.0823714767731485,0
"CB","Aqib Talib",1302,"IN",1,0,0,-0.41138144574737,-0.41138144574737,1
"CB","Aqib Talib",1302,"OUT",3,3,0,-0.432521725564375,-0.144173908521458,0
"CB","Aqib Talib",1302,"POST",1,1,0,-1.37731121756353,-1.37731121756353,1
"DB","Armani Watts",2560921,"CROSS",1,0,0,3.1567786393698,3.1567786393698,1
"CB","Arthur Maulet",2559087,"CORNER",1,1,0,-1.75260981203904,-1.75260981203904,0
"CB","Arthur Maulet",2559087,"HITCH",3,3,0,0.00982161363096345,0.00327387121032115,0
"CB","Artie Burns",2555344,"CROSS",1,1,0,-0.78163340902434,-0.78163340902434,0
"CB","Artie Burns",2555344,"GO",4,4,0,-2.6570746696823,-0.664268667420575,0
