"position","displayName","nflId_def","route","tackling_opportunities","eps_tackling","eps_per_tackling_opportunity","perc_reduce_yac","FF","Tackles"
"CB","A.J. Bouye",2541162,"CROSS",1,-0.171242697997129,-0.171242697997129,0,0,0
"CB","A.J. Bouye",2541162,"FLAT",2,-0.172641070487904,-0.0863205352439518,0,0,2
"CB","A.J. Bouye",2541162,"GO",2,-0.034638502032349,-0.0173192510161745,0.5,0,2
"CB","A.J. Bouye",2541162,"HITCH",5,0.280456713594802,0.0560913427189603,0.6,0,5
"CB","A.J. Bouye",2541162,"IN",3,0.237950907118597,0.0793169690395323,1,0,3
"CB","A.J. Bouye",2541162,"OUT",7,0.0086166482445824,0.00123094974922606,0.571428571428571,0,5.5
"CB","A.J. Bouye",2541162,"SCREEN",1,-0.187850417234442,-0.187850417234442,0,0,0
"CB","A.J. Bouye",2541162,"SLANT",3,0.355928669393091,0.118642889797697,0.666666666666667,0,3
"CB","Aaron Colvin",2543501,"GO",1,0.0451869954236392,0.0451869954236392,1,0,0
"CB","Aaron Colvin",2543501,"IN",1,0.049802526189085,0.049802526189085,1,0,1
"CB","Aaron Colvin",2543501,"OUT",2,0.50767773461553,0.253838867307765,1,0,2
"CB","Aaron Colvin",2543501,"SLANT",4,-0.443547273245921,-0.11088681831148,0.25,0,2.5
"CB","Adam Jones",2506345,"HITCH",1,0.0319680594068376,0.0319680594068376,1,0,1
"CB","Adam Jones",2506345,"IN",1,-0.0736937015470049,-0.0736937015470049,0,0,0
"CB","Adam Jones",2506345,"POST",1,0.133863003221907,0.133863003221907,1,0,1
"MLB","Adarius Taylor",2550565,"CROSS",3,-0.67728105706975,-0.225760352356583,0.333333333333333,0,1.5
"MLB","Adarius Taylor",2550565,"FLAT",2,0.689731877332961,0.344865938666481,1,0,2
"MLB","Adarius Taylor",2550565,"OUT",1,0.227063263321873,0.227063263321873,1,0,1
"CB","Adoree' Jackson",2558065,"CORNER",2,0.0410869186062991,0.0205434593031496,1,0,1
"CB","Adoree' Jackson",2558065,"CROSS",3,0.110479577017172,0.0368265256723906,0.333333333333333,0,2
"CB","Adoree' Jackson",2558065,"GO",5,-2.48794184828779,-0.497588369657558,0.8,0,4
"CB","Adoree' Jackson",2558065,"HITCH",7,-0.0850648939533224,-0.0121521277076175,0.714285714285714,0,6
"CB","Adoree' Jackson",2558065,"IN",1,-0.34055208086588,-0.34055208086588,0,0,0
"CB","Adoree' Jackson",2558065,"OUT",6,0.0429742391253676,0.00716237318756126,0.833333333333333,0,5
"CB","Adoree' Jackson",2558065,"SCREEN",1,0.235232609875405,0.235232609875405,1,0,1
"CB","Adoree' Jackson",2558065,"SLANT",2,0.729747761334474,0.364873880667237,1,0,1
"FS","Adrian Amos",2552385,"FLAT",2,0.463741601909581,0.231870800954791,1,0,1
"FS","Adrian Amos",2552385,"OUT",1,-0.0926701413390288,-0.0926701413390288,0,0,0.5
"SS","Adrian Phillips",2550842,"OUT",1,0.0663462967292605,0.0663462967292605,1,0,1
"CB","Ahkello Witherspoon",2558157,"CROSS",1,0.256932336977783,0.256932336977783,1,0,1
"CB","Ahkello Witherspoon",2558157,"GO",1,-0.76345302054701,-0.76345302054701,0,0,0
"CB","Ahkello Witherspoon",2558157,"HITCH",2,0.051374708116931,0.0256873540584655,0.5,0,1
"CB","Ahkello Witherspoon",2558157,"IN",1,0.0681206921210227,0.0681206921210227,1,0,0.5
"CB","Ahkello Witherspoon",2558157,"OUT",5,-1.08700074557386,-0.217400149114772,0.6,0,4
"CB","Ahkello Witherspoon",2558157,"SLANT",2,-0.206087589269157,-0.103043794634579,0,0,1
"CB","Akeem King",2553456,"HITCH",1,1.39410656990997,1.39410656990997,1,0,1
"CB","Akeem King",2553456,"OUT",1,-0.0738126570924342,-0.0738126570924342,0,0,1
"CB","Akeem King",2553456,"POST",1,0.00360868154817995,0.00360868154817995,1,0,1
"CB","Akeem King",2553456,"SLANT",1,-0.159166591677695,-0.159166591677695,0,0,1
"LB","Alec Ogletree",2540143,"CROSS",3,-0.993418861598494,-0.331139620532831,0.333333333333333,0,1
"LB","Alec Ogletree",2540143,"OUT",1,0.217130947867938,0.217130947867938,1,0,1
"OLB","Alex Anzalone",2558163,"CROSS",3,-0.424469300747547,-0.141489766915849,0.333333333333333,0,3
"OLB","Alex Anzalone",2558163,"HITCH",2,-0.284665209034578,-0.142332604517289,0,0,2
"OLB","Alex Anzalone",2558163,"SLANT",2,0.0541372145419452,0.0270686072709726,0.5,0,2
"FS","Andrew Adams",2556456,"HITCH",1,0.0108024414616633,0.0108024414616633,1,0,1
"FS","Andrew Adams",2556456,"IN",1,0.062369011868753,0.062369011868753,1,0,1
"FS","Andrew Adams",2556456,"OUT",3,-0.0899796457826839,-0.0299932152608946,0.666666666666667,0,2
"CB","Anthony Averett",2560963,"GO",1,-0.13326385272459,-0.13326385272459,0,0,1
"OLB","Anthony Barr",2543459,"CROSS",1,-0.639216763749042,-0.639216763749042,0,0,0
"OLB","Anthony Barr",2543459,"FLAT",1,0.0247541745781957,0.0247541745781957,1,0,0
"OLB","Anthony Barr",2543459,"GO",1,-0.946889341592752,-0.946889341592752,0,0,0
"OLB","Anthony Barr",2543459,"SCREEN",2,1.11141972710719,0.555709863553593,1,0,0
"CB","Anthony Brown",2555531,"CROSS",3,-1.92039752135821,-0.640132507119404,0.333333333333333,0,2
"CB","Anthony Brown",2555531,"GO",2,0.243335302985587,0.121667651492793,0.5,0,1
"CB","Anthony Brown",2555531,"HITCH",3,0.201134911349148,0.0670449704497162,1,0,3
"CB","Anthony Brown",2555531,"OUT",5,3.51609342048217,0.703218684096434,0.8,1,3
"CB","Anthony Brown",2555531,"POST",1,0.113173768676338,0.113173768676338,1,0,1
"CB","Anthony Brown",2555531,"SLANT",1,0.0398375021302875,0.0398375021302875,1,0,1
"OLB","Anthony Chickillo",2552266,"HITCH",1,-0.501932719692555,-0.501932719692555,0,0,0
"FS","Anthony Harris",2553655,"CROSS",1,0.0865137445185822,0.0865137445185822,1,0,1
"FS","Anthony Harris",2553655,"IN",1,0.034751144517468,0.034751144517468,1,0,1
"MLB","Anthony Hitchens",2543592,"ANGLE",1,-0.173925442592047,-0.173925442592047,0,0,1
"MLB","Anthony Hitchens",2543592,"CROSS",2,1.41779425330484,0.708897126652422,1,0,2
"DB","Anthony Levine",2508004,"IN",1,0.082848153593609,0.082848153593609,1,0,0
"ILB","Anthony Walker",2558851,"FLAT",1,0.0937407647143784,0.0937407647143784,1,0,1
"ILB","Anthony Walker",2558851,"GO",1,-0.999682729919936,-0.999682729919936,0,0,0
"ILB","Anthony Walker",2558851,"HITCH",1,0.141774934324353,0.141774934324353,1,0,1
"ILB","Anthony Walker",2558851,"IN",1,0.203808913560026,0.203808913560026,1,0,1
"ILB","Anthony Walker",2558851,"OUT",1,-0.432626532396056,-0.432626532396056,0,0,0.5
"ILB","Anthony Walker",2558851,"SCREEN",1,0.87961150027213,0.87961150027213,1,0,0
"FS","Antoine Bethea",2495807,"CROSS",1,0.0548038611300436,0.0548038611300436,1,0,1
"FS","Antoine Bethea",2495807,"FLAT",1,0.009435634836712,0.009435634836712,1,0,1
"FS","Antoine Bethea",2495807,"OUT",2,0.0473546845605584,0.0236773422802792,1,0,2
"FS","Antone Exum",2543680,"OUT",2,0.206583609640562,0.103291804820281,0.5,0,2
"ILB","Antonio Morrison",2555160,"FLAT",1,-0.235679399986096,-0.235679399986096,0,0,1
"CB","Aqib Talib",1302,"GO",1,0.00218790303039196,0.00218790303039196,1,0,1
"CB","Aqib Talib",1302,"HITCH",2,4.57627699216692,2.28813849608346,0.5,1,1
"CB","Aqib Talib",1302,"OUT",2,-0.124307854480719,-0.0621539272403597,0,0,2
"CB","Aqib Talib",1302,"POST",1,0.0176144094418187,0.0176144094418187,1,0,0
"CB","Arthur Maulet",2559087,"CORNER",1,-4.1696865347089,-4.1696865347089,0,0,0
"CB","Arthur Maulet",2559087,"HITCH",3,0.183215926582445,0.0610719755274817,1,0,2.5
"CB","Arthur Maulet",2559087,"IN",1,-0.0789752970747834,-0.0789752970747834,0,0,1
"CB","Artie Burns",2555344,"GO",2,-0.711826543558113,-0.355913271779057,0.5,0,2
"CB","Artie Burns",2555344,"IN",1,0.950464156072552,0.950464156072552,1,0,1
"CB","Artie Burns",2555344,"SLANT",1,0.192745411963538,0.192745411963538,1,0,1
"LB","Austin Calitro",2558925,"CROSS",1,0.0264997220968555,0.0264997220968555,1,0,1
"LB","Austin Calitro",2558925,"HITCH",2,-0.177737915720479,-0.0888689578602395,0.5,0,2
