"qualifying","position","displayName","nflId_def","time_after_snap","count","avg_max_epa","max_time_after_snap","avg_max_epa_pred"
1,"CB","A.J. Bouye",2541162,"0.5",263,0.0398816863255403,7.5,0.024119306575676
1,"CB","A.J. Bouye",2541162,"0.6",263,0.0468031657687069,7.5,0.0407123928871539
1,"CB","A.J. Bouye",2541162,"0.7",262,0.0556660203117598,7.5,0.0582756363701647
1,"CB","A.J. Bouye",2541162,"0.8",262,0.0677141669008585,7.5,0.0767733652361503
1,"CB","A.J. Bouye",2541162,"0.9",261,0.0857495506512374,7.5,0.0961699076965531
1,"CB","A.J. Bouye",2541162,"1",261,0.104119273059907,7.5,0.116429591962815
1,"CB","A.J. Bouye",2541162,"1.1",260,0.128351670501208,7.5,0.137516746246379
1,"CB","A.J. Bouye",2541162,"1.2",258,0.153631375837737,7.5,0.159395698758686
1,"CB","A.J. Bouye",2541162,"1.3",257,0.18330354443024,7.5,0.182029290300189
1,"CB","A.J. Bouye",2541162,"1.4",253,0.213688289442373,7.5,0.205291117011972
1,"CB","A.J. Bouye",2541162,"1.5",253,0.242374377251472,7.5,0.2289164458131
1,"CB","A.J. Bouye",2541162,"1.6",251,0.262444326210093,7.5,0.252628644334718
1,"CB","A.J. Bouye",2541162,"1.7",247,0.285665409947199,7.5,0.276151080207975
1,"CB","A.J. Bouye",2541162,"1.8",243,0.306024577395686,7.5,0.299207121064018
1,"CB","A.J. Bouye",2541162,"1.9",237,0.316199484580635,7.5,0.321520134533995
1,"CB","A.J. Bouye",2541162,"2",221,0.331868715197602,7.5,0.342813488249052
1,"CB","A.J. Bouye",2541162,"2.1",209,0.355213856817282,7.5,0.362839370996091
1,"CB","A.J. Bouye",2541162,"2.2",199,0.375490775763727,7.5,0.381685017497659
1,"CB","A.J. Bouye",2541162,"2.3",188,0.402473674351914,7.5,0.399653821144459
1,"CB","A.J. Bouye",2541162,"2.4",176,0.419516548578501,7.5,0.417052777971662
1,"CB","A.J. Bouye",2541162,"2.5",163,0.452164912086695,7.5,0.434188884014441
1,"CB","A.J. Bouye",2541162,"2.6",153,0.460035109828378,7.5,0.45136913530797
1,"CB","A.J. Bouye",2541162,"2.7",140,0.470994100095238,7.5,0.468900527887419
1,"CB","A.J. Bouye",2541162,"2.8",124,0.468698265613032,7.5,0.487090057787962
1,"CB","A.J. Bouye",2541162,"2.9",110,0.483921712513424,7.5,0.506122874196303
1,"CB","A.J. Bouye",2541162,"3",103,0.500133421916983,7.5,0.525696738905271
1,"CB","A.J. Bouye",2541162,"3.1",96,0.524024250047862,7.5,0.545387566859229
1,"CB","A.J. Bouye",2541162,"3.2",83,0.552597315416841,7.5,0.564771273002539
1,"CB","A.J. Bouye",2541162,"3.3",72,0.592054894630595,7.5,0.583423772279562
1,"CB","A.J. Bouye",2541162,"3.4",65,0.635233322189781,7.5,0.600920979634659
1,"CB","A.J. Bouye",2541162,"3.5",51,0.645614124493954,7.5,0.616838810012194
1,"CB","A.J. Bouye",2541162,"3.6",47,0.687085498432324,7.5,0.630757334868281
1,"CB","A.J. Bouye",2541162,"3.7",43,0.664292149785368,7.5,0.642506016364283
1,"CB","A.J. Bouye",2541162,"3.8",41,0.690975016848771,7.5,0.652300872254692
1,"CB","A.J. Bouye",2541162,"3.9",36,0.703707315823426,7.5,0.660391172388035
1,"CB","A.J. Bouye",2541162,"4",30,0.632264741252872,7.5,0.667026186612837
1,"CB","A.J. Bouye",2541162,"4.1",24,0.656519224594947,7.5,0.672455184777624
1,"CB","A.J. Bouye",2541162,"4.2",23,0.6814831189474,7.5,0.676927436730922
1,"CB","A.J. Bouye",2541162,"4.3",23,0.688450356110438,7.5,0.680692212321257
1,"CB","A.J. Bouye",2541162,"4.4",21,0.713617080758272,7.5,0.68398842777984
1,"CB","A.J. Bouye",2541162,"4.5",18,0.720352378051457,7.5,0.686934638536589
1,"CB","A.J. Bouye",2541162,"4.6",14,0.748903611360182,7.5,0.689571747891558
1,"CB","A.J. Bouye",2541162,"4.7",14,0.76170572945807,7.5,0.691939364942638
1,"CB","A.J. Bouye",2541162,"4.8",13,0.636566932944702,7.5,0.694077098787717
1,"CB","A.J. Bouye",2541162,"4.9",12,0.673875437933996,7.5,0.696024558524685
1,"CB","A.J. Bouye",2541162,"5",12,0.695646006275754,7.5,0.697821353251431
1,"CB","A.J. Bouye",2541162,"5.1",11,0.64744591967762,7.5,0.699507092065845
1,"CB","A.J. Bouye",2541162,"5.2",10,0.62741565866256,7.5,0.701116088273592
1,"CB","A.J. Bouye",2541162,"5.3",10,0.641236880601011,7.5,0.702661472011437
1,"CB","A.J. Bouye",2541162,"5.4",9,0.636575206185162,7.5,0.70415107762392
1,"CB","A.J. Bouye",2541162,"5.5",9,0.636575206185162,7.5,0.705592739455584
1,"CB","A.J. Bouye",2541162,"5.6",6,0.59526497289221,7.5,0.706994291850968
1,"CB","A.J. Bouye",2541162,"5.7",4,0.675488613585729,7.5,0.708363569154614
1,"CB","A.J. Bouye",2541162,"5.8",4,0.675488613585729,7.5,0.709708405711062
1,"CB","A.J. Bouye",2541162,"5.9",4,0.675488613585729,7.5,0.711036598025207
1,"CB","A.J. Bouye",2541162,"6",4,0.675488613585729,7.5,0.712353672223142
1,"CB","A.J. Bouye",2541162,"6.1",4,0.675488613585729,7.5,0.713661635343821
1,"CB","A.J. Bouye",2541162,"6.2",4,0.675488613585729,7.5,0.714962191709024
1,"CB","A.J. Bouye",2541162,"6.3",4,0.675488613585729,7.5,0.716257045640532
1,"CB","A.J. Bouye",2541162,"6.4",4,0.675488613585729,7.5,0.717547901460124
1,"CB","A.J. Bouye",2541162,"6.5",4,0.675488613585729,7.5,0.718836463489581
1,"CB","A.J. Bouye",2541162,"6.6",3,0.602861274747887,7.5,0.720124436050682
1,"CB","A.J. Bouye",2541162,"6.7",3,0.602861274747887,7.5,0.721413431872228
1,"CB","A.J. Bouye",2541162,"6.8",3,0.602861274747887,7.5,0.722703998914614
1,"CB","A.J. Bouye",2541162,"6.9",2,0.767926231597181,7.5,0.72399599819088
1,"CB","A.J. Bouye",2541162,"7",2,0.767926231597181,7.5,0.725289279264943
1,"CB","A.J. Bouye",2541162,"7.1",2,0.767926231597181,7.5,0.72658369170072
1,"CB","A.J. Bouye",2541162,"7.2",1,0.831145627958699,7.5,0.727879085062128
1,"CB","A.J. Bouye",2541162,"7.3",1,0.831145627958699,7.5,0.729175308913084
1,"CB","A.J. Bouye",2541162,"7.4",1,0.831145627958699,7.5,0.730472212817504
1,"CB","Adoree' Jackson",2558065,"0.5",266,-0.0357570748248018,13.3,-0.042534772562712
1,"CB","Adoree' Jackson",2558065,"0.6",266,-0.025321001063517,13.3,-0.0290544519883546
1,"CB","Adoree' Jackson",2558065,"0.7",266,-0.0116586956782555,13.3,-0.0128461149320733
1,"CB","Adoree' Jackson",2558065,"0.8",266,0.00305578936033356,13.3,0.00569351778601994
1,"CB","Adoree' Jackson",2558065,"0.9",266,0.0192981073151284,13.3,0.0261677253458132
1,"CB","Adoree' Jackson",2558065,"1",266,0.0388800809161119,13.3,0.0481797869271946
1,"CB","Adoree' Jackson",2558065,"1.1",266,0.0672017977604942,13.3,0.0713329817100522
1,"CB","Adoree' Jackson",2558065,"1.2",264,0.0938588908239927,13.3,0.0952305888742739
1,"CB","Adoree' Jackson",2558065,"1.3",263,0.118818336576752,13.3,0.119478313353564
1,"CB","Adoree' Jackson",2558065,"1.4",259,0.146943072423429,13.3,0.143827405310605
1,"CB","Adoree' Jackson",2558065,"1.5",257,0.17410830698598,13.3,0.168254710012994
1,"CB","Adoree' Jackson",2558065,"1.6",256,0.195656846239905,13.3,0.192756478758858
1,"CB","Adoree' Jackson",2558065,"1.7",254,0.221210137150074,13.3,0.217328962846325
1,"CB","Adoree' Jackson",2558065,"1.8",245,0.249439658675816,13.3,0.241968413573522
1,"CB","Adoree' Jackson",2558065,"1.9",240,0.272092872688451,13.3,0.266671082238578
1,"CB","Adoree' Jackson",2558065,"2",233,0.292370572021335,13.3,0.291433220139619
1,"CB","Adoree' Jackson",2558065,"2.1",220,0.319433213484529,13.3,0.316233773328338
1,"CB","Adoree' Jackson",2558065,"2.2",211,0.329493422324886,13.3,0.3408505143666
1,"CB","Adoree' Jackson",2558065,"2.3",200,0.356138481120012,13.3,0.364931426468002
1,"CB","Adoree' Jackson",2558065,"2.4",186,0.373800002001653,13.3,0.388122329690332
1,"CB","Adoree' Jackson",2558065,"2.5",177,0.400954734793846,13.3,0.41006904409138
1,"CB","Adoree' Jackson",2558065,"2.6",158,0.440850963330768,13.3,0.430417389728936
1,"CB","Adoree' Jackson",2558065,"2.7",145,0.455324863374929,13.3,0.44881318666079
1,"CB","Adoree' Jackson",2558065,"2.8",129,0.459370799528784,13.3,0.464902254944732
1,"CB","Adoree' Jackson",2558065,"2.9",115,0.483681655336068,13.3,0.478434198548979
1,"CB","Adoree' Jackson",2558065,"3",102,0.480575612681213,13.3,0.489573757083458
1,"CB","Adoree' Jackson",2558065,"3.1",93,0.503996085180137,13.3,0.498589454068523
1,"CB","Adoree' Jackson",2558065,"3.2",84,0.522093833750656,13.3,0.505749813024529
1,"CB","Adoree' Jackson",2558065,"3.3",70,0.528710537623402,13.3,0.51132335747183
1,"CB","Adoree' Jackson",2558065,"3.4",58,0.551371113728982,13.3,0.515578610930782
1,"CB","Adoree' Jackson",2558065,"3.5",51,0.52472151012258,13.3,0.518784096921737
1,"CB","Adoree' Jackson",2558065,"3.6",45,0.510624200804841,13.3,0.521207166259983
1,"CB","Adoree' Jackson",2558065,"3.7",41,0.532265987340207,13.3,0.523044807456633
1,"CB","Adoree' Jackson",2558065,"3.8",36,0.535560153950516,13.3,0.524384947451341
1,"CB","Adoree' Jackson",2558065,"3.9",30,0.533202121908139,13.3,0.525306131543205
1,"CB","Adoree' Jackson",2558065,"4",27,0.551761710156142,13.3,0.525886905031321
1,"CB","Adoree' Jackson",2558065,"4.1",26,0.554346717661914,13.3,0.526205813214787
1,"CB","Adoree' Jackson",2558065,"4.2",24,0.546118718318361,13.3,0.526341401392699
1,"CB","Adoree' Jackson",2558065,"4.3",23,0.568393039564729,13.3,0.526372214864155
1,"CB","Adoree' Jackson",2558065,"4.4",19,0.590365558787591,13.3,0.526372920434019
1,"CB","Adoree' Jackson",2558065,"4.5",17,0.6575188127411,13.3,0.526373097411697
1,"CB","Adoree' Jackson",2558065,"4.6",14,0.501929433116029,13.3,0.526373236399848
1,"CB","Adoree' Jackson",2558065,"4.7",13,0.496039094260255,13.3,0.526373343189352
1,"CB","Adoree' Jackson",2558065,"4.8",11,0.475732559667919,13.3,0.526373423571088
1,"CB","Adoree' Jackson",2558065,"4.9",11,0.475732559667919,13.3,0.526373483335936
1,"CB","Adoree' Jackson",2558065,"5",11,0.475732559667919,13.3,0.526373528274776
1,"CB","Adoree' Jackson",2558065,"5.1",11,0.475732559667919,13.3,0.526373564178487
1,"CB","Adoree' Jackson",2558065,"5.2",11,0.477056228020886,13.3,0.526373595929248
1,"CB","Adoree' Jackson",2558065,"5.3",10,0.508431658402265,13.3,0.526373624774435
1,"CB","Adoree' Jackson",2558065,"5.4",7,0.491697338618147,13.3,0.52637365105272
1,"CB","Adoree' Jackson",2558065,"5.5",7,0.491697338618147,13.3,0.52637367510278
1,"CB","Adoree' Jackson",2558065,"5.6",7,0.491697338618147,13.3,0.526373697263286
1,"CB","Adoree' Jackson",2558065,"5.7",7,0.491697338618147,13.3,0.526373717872914
1,"CB","Adoree' Jackson",2558065,"5.8",7,0.491697338618147,13.3,0.526373737270337
1,"CB","Adoree' Jackson",2558065,"5.9",7,0.491697338618147,13.3,0.526373755792567
1,"CB","Adoree' Jackson",2558065,"6",7,0.491697338618147,13.3,0.526373773676794
1,"CB","Adoree' Jackson",2558065,"6.1",6,0.412217802679407,13.3,0.526373791005491
1,"CB","Adoree' Jackson",2558065,"6.2",6,0.420383904358446,13.3,0.526373807847823
1,"CB","Adoree' Jackson",2558065,"6.3",5,0.389319155476876,13.3,0.526373824272952
1,"CB","Adoree' Jackson",2558065,"6.4",4,0.430274193219549,13.3,0.526373840350044
1,"CB","Adoree' Jackson",2558065,"6.5",4,0.433324260585142,13.3,0.52637385614826
1,"CB","Adoree' Jackson",2558065,"6.6",3,0.413219162495119,13.3,0.526373871736766
1,"CB","Adoree' Jackson",2558065,"6.7",3,0.413219162495119,13.3,0.526373887182013
1,"CB","Adoree' Jackson",2558065,"6.8",2,0.44046671411263,13.3,0.526373902518933
1,"CB","Adoree' Jackson",2558065,"6.9",2,0.44046671411263,13.3,0.526373917762121
1,"CB","Adoree' Jackson",2558065,"7",2,0.44046671411263,13.3,0.526373932925835
1,"CB","Adoree' Jackson",2558065,"7.1",2,0.44046671411263,13.3,0.526373948024331
1,"CB","Adoree' Jackson",2558065,"7.2",2,0.44046671411263,13.3,0.526373963071866
1,"CB","Adoree' Jackson",2558065,"7.3",2,0.44046671411263,13.3,0.526373978082698
1,"CB","Adoree' Jackson",2558065,"7.4",2,0.44046671411263,13.3,0.526373993071082
1,"SS","Adrian Phillips",2550842,"0.5",122,0.15195791391471,7.9,0.137557203072691
1,"SS","Adrian Phillips",2550842,"0.6",122,0.167244986412224,7.9,0.165251317275319
1,"SS","Adrian Phillips",2550842,"0.7",122,0.187380490716433,7.9,0.193407511773012
1,"SS","Adrian Phillips",2550842,"0.8",122,0.213737793343742,7.9,0.221971953716886
1,"SS","Adrian Phillips",2550842,"0.9",122,0.241369301689184,7.9,0.250890810258057
1,"SS","Adrian Phillips",2550842,"1",122,0.273913445820061,7.9,0.280110248547641
1,"SS","Adrian Phillips",2550842,"1.1",122,0.306518675914108,7.9,0.309576435736753
1,"SS","Adrian Phillips",2550842,"1.2",122,0.343520249467952,7.9,0.339235538976508
1,"SS","Adrian Phillips",2550842,"1.3",122,0.374333960054951,7.9,0.369032331266447
1,"SS","Adrian Phillips",2550842,"1.4",122,0.402659931734932,7.9,0.398827936511477
1,"SS","Adrian Phillips",2550842,"1.5",122,0.430973878178102,7.9,0.428353822519833
1,"SS","Adrian Phillips",2550842,"1.6",122,0.457602659699457,7.9,0.457330303887133
1,"SS","Adrian Phillips",2550842,"1.7",118,0.478424853905606,7.9,0.485477695208994
1,"SS","Adrian Phillips",2550842,"1.8",116,0.501295462268103,7.9,0.512516311081033
1,"SS","Adrian Phillips",2550842,"1.9",113,0.531279795080462,7.9,0.538166466098867
1,"SS","Adrian Phillips",2550842,"2",112,0.560215719196294,7.9,0.562148474858113
1,"SS","Adrian Phillips",2550842,"2.1",107,0.599137806262835,7.9,0.584210389032579
1,"SS","Adrian Phillips",2550842,"2.2",105,0.620563069802381,7.9,0.604422703830031
1,"SS","Adrian Phillips",2550842,"2.3",100,0.652363548931587,7.9,0.623063942544661
1,"SS","Adrian Phillips",2550842,"2.4",93,0.676379315212917,7.9,0.640416095605433
1,"SS","Adrian Phillips",2550842,"2.5",87,0.674972266894749,7.9,0.656761153441314
1,"SS","Adrian Phillips",2550842,"2.6",76,0.638585448043622,7.9,0.672381106481268
1,"SS","Adrian Phillips",2550842,"2.7",67,0.65227025120492,7.9,0.687557945154262
1,"SS","Adrian Phillips",2550842,"2.8",60,0.69081225869044,7.9,0.70257365988926
1,"SS","Adrian Phillips",2550842,"2.9",56,0.70744872736411,7.9,0.717665652327287
1,"SS","Adrian Phillips",2550842,"3",54,0.724555948956052,7.9,0.732892968957603
1,"SS","Adrian Phillips",2550842,"3.1",49,0.714698521299523,7.9,0.74827006748153
1,"SS","Adrian Phillips",2550842,"3.2",48,0.728945101719578,7.9,0.763811405600386
1,"SS","Adrian Phillips",2550842,"3.3",43,0.786892787985618,7.9,0.779531441015492
1,"SS","Adrian Phillips",2550842,"3.4",38,0.817598462899436,7.9,0.795444631428166
1,"SS","Adrian Phillips",2550842,"3.5",36,0.763608939219535,7.9,0.811565434539731
1,"SS","Adrian Phillips",2550842,"3.6",32,0.782323028188098,7.9,0.8279072757109
1,"SS","Adrian Phillips",2550842,"3.7",29,0.839094336387459,7.9,0.844421639866142
1,"SS","Adrian Phillips",2550842,"3.8",26,0.896535307871813,7.9,0.860964004253742
1,"SS","Adrian Phillips",2550842,"3.9",24,0.920084412866636,7.9,0.877381587397152
1,"SS","Adrian Phillips",2550842,"4",22,0.904755386006957,7.9,0.893521607819822
1,"SS","Adrian Phillips",2550842,"4.1",19,0.93316089991846,7.9,0.909231284045205
1,"SS","Adrian Phillips",2550842,"4.2",17,1.02787547883031,7.9,0.924357834596752
1,"SS","Adrian Phillips",2550842,"4.3",17,1.02787547883031,7.9,0.938748477997914
1,"SS","Adrian Phillips",2550842,"4.4",15,0.994500481544271,7.9,0.952262325154875
1,"SS","Adrian Phillips",2550842,"4.5",15,0.994500481544271,7.9,0.964896735923067
1,"SS","Adrian Phillips",2550842,"4.6",14,1.01031675912405,7.9,0.976738263028406
1,"SS","Adrian Phillips",2550842,"4.7",13,0.960002379030938,7.9,0.987874945744652
1,"SS","Adrian Phillips",2550842,"4.8",13,0.960002379030938,7.9,0.998394823345562
1,"SS","Adrian Phillips",2550842,"4.9",12,0.896610905009595,7.9,1.00838593510489
1,"SS","Adrian Phillips",2550842,"5",12,0.896610905009595,7.9,1.01793632029641
1,"SS","Adrian Phillips",2550842,"5.1",11,1.00710404206699,7.9,1.02713401819386
1,"SS","Adrian Phillips",2550842,"5.2",11,1.00710404206699,7.9,1.03605256750722
1,"SS","Adrian Phillips",2550842,"5.3",9,1.01948255770756,7.9,1.0447075046913
1,"SS","Adrian Phillips",2550842,"5.4",8,1.04001783399313,7.9,1.05309986563712
1,"SS","Adrian Phillips",2550842,"5.5",6,1.00724984421754,7.9,1.06123068623571
