"qualifying","position","displayName","nflId_def","qualifying_routes","distinct_routes","route_normalized_eps_per_route"
1,"SS","Patrick Chung",71251,241,10,0.126080186242186
1,"CB","Nevin Lawson",2543872,248,9,0.124954753340394
1,"CB","Tramon Williams",2506789,161,8,0.113641342797259
1,"CB","Prince Amukamara",2495108,339,9,0.104592788710408
1,"CB","Shareece Wright",2495251,170,8,0.103652571209413
1,"CB","William Jackson",2556367,370,9,0.10107037035237
1,"CB","Orlando Scandrick",2307,262,8,0.0983147107518396
1,"SS","Justin Simmons",2555550,133,9,0.0981293349168185
1,"CB","Fabian Moreau",2558136,253,10,0.0918558165198772
1,"CB","Coty Sensabaugh",2532946,280,8,0.0899005151317251
1,"CB","Xavier Rhodes",2540155,231,8,0.0885040322676566
1,"CB","Quinton Dunbar",2553796,126,7,0.0860132380004244
1,"CB","Dre Kirkpatrick",2533060,274,8,0.0853922728162034
1,"DB","J.C. Jackson",2560754,157,9,0.0853300371029646
1,"CB","Darius Slay",2540288,268,9,0.0842178980485202
1,"CB","Brandon Carr",4365,287,9,0.0814886695410001
1,"CB","Grant Haley",2561001,129,9,0.0742917799334167
1,"CB","Jason McCourty",89756,310,9,0.0724269315642445
1,"CB","Carlton Davis",2561039,231,8,0.0721488263918375
1,"CB","Denzel Ward",2560916,270,9,0.069973279016245
1,"CB","Jaire Alexander",2560952,217,8,0.0672340516609084
1,"CB","Joe Haden",496733,319,9,0.0660886731861057
1,"CB","Bryce Callahan",2553500,227,9,0.062166216640874
1,"CB","T.J. Carrie",2550164,281,9,0.0618069546202233
1,"CB","P.J. Williams",2552484,217,9,0.0603929361153977
1,"CB","B.W. Webb",2539338,323,9,0.0590965015161137
1,"CB","Levi Wallace",2560914,116,8,0.05842020363222
1,"CB","Mike Ford",2561527,129,9,0.0583524583835315
1,"FS","Tashaun Gipson",2532848,119,9,0.0576336746061277
1,"CB","Marlon Humphrey",2558067,272,9,0.0553170145113366
1,"CB","Trae Waynes",2552448,187,8,0.0546145454142418
1,"CB","Jimmy Smith",2508107,199,8,0.0546044656779957
1,"CB","Byron Jones",2552568,379,8,0.0531092181810392
1,"CB","Marshon Lattimore",2558061,307,8,0.0510508209182222
1,"CB","Malcolm Butler",2550613,304,8,0.0504657124838428
1,"CB","Jalen Ramsey",2555280,334,10,0.0499774758602288
1,"CB","Terrance Mitchell",2543637,106,8,0.0479093660794593
1,"CB","Nickell Robey-Coleman",2540197,146,9,0.0435374894118899
1,"CB","Bradley Roby",2543505,279,8,0.0413543957691679
1,"CB","Bobby McCain",2552434,205,9,0.0392357185388003
1,"SS","Marqui Christian",2556277,117,9,0.0387826320409683
1,"CB","Tramaine Brock",2507917,153,8,0.0377925098658227
1,"CB","Stephon Gilmore",2533062,409,9,0.0367375003411506
1,"CB","Logan Ryan",2540162,219,9,0.0358869656502182
1,"CB","Shaquill Griffin",2558259,321,9,0.031637964505704
1,"CB","Anthony Brown",2555531,200,10,0.0315468824972919
1,"CB","Justin Coleman",2553637,170,9,0.0309577327240165
1,"CB","Josh Jackson",2560755,239,9,0.0296593326462022
1,"FS","Budda Baker",2558009,259,10,0.0295334162781588
1,"CB","Nate Hairston",2558108,106,7,0.0289944734459268
1,"CB","Eli Apple",2555277,289,8,0.026463747128073
1,"CB","Josh Norman",2532920,336,8,0.0251425501116493
1,"CB","Steven Nelson",2552265,365,9,0.0248004478503505
1,"CB","James Bradberry",2555175,293,8,0.024528267721761
1,"CB","Tavon Young",2555378,159,9,0.0227115539445779
1,"CB","Casey Hayward",2532861,363,8,0.0215743181740759
1,"CB","Chris Harris",2530510,226,9,0.0205539053976723
1,"FS","Vonn Bell",2555530,136,9,0.0205113692211478
1,"CB","Mackensie Alexander",2555177,121,9,0.0202284958972358
1,"CB","Buster Skrine",2495343,190,9,0.0201853631659932
1,"CB","Robert Alford",2539653,353,9,0.0191276311046327
1,"S","Minkah Fitzpatrick",2560725,212,9,0.0135926684432544
1,"CB","Bene' Benwikere",2543855,131,9,0.012708511101279
1,"CB","Jonathan Jones",2556571,133,8,0.0105844082949476
1,"CB","Marcus Peters",2552488,226,8,0.00973044171767557
1,"CB","Kyle Fuller",2543681,367,8,0.00836875053169845
1,"CB","Pierre Desir",2543811,324,9,0.00604913009334931
1,"CB","Trevor Williams",2556828,125,7,0.00415726324010066
1,"CB","Phillip Gaines",2543851,111,9,-0.0013888301351677
1,"CB","Captain Munnerlyn",80668,155,9,-0.0014381319861699
1,"CB","Patrick Peterson",2495504,274,8,-0.00479402199996394
1,"CB","Mike Hilton",2556559,166,9,-0.00985637270136898
1,"CB","Desmond Trufant",2539334,382,8,-0.0108624658049647
1,"CB","Janoris Jenkins",2532875,346,9,-0.0109109140374804
1,"CB","Quincy Wilson",2557961,145,8,-0.0115125153991176
1,"CB","Sam Shields",1037374,138,8,-0.0138816047458902
1,"CB","Rasul Douglas",2558168,179,9,-0.0145726486611419
1,"SS","Jeff Heath",2541832,113,9,-0.0151477611457152
1,"CB","Darryl Roberts",2553353,129,8,-0.0196460241779092
1,"CB","Kendall Fuller",2555349,253,9,-0.0204017012846849
1,"CB","Chidobe Awuzie",2557840,305,8,-0.0230463270861188
1,"CB","Tre'Davious White",2557867,302,9,-0.0245224848324212
1,"FS","Tyrann Mathieu",2540180,157,10,-0.0248835566100946
1,"CB","Kareem Jackson",496735,175,8,-0.0273674536165846
1,"CB","Ken Crawley",2556735,131,8,-0.0329657399462003
1,"CB","Darqueze Dennard",2543474,199,9,-0.0334421824948534
1,"CB","K'Waun Williams",2550654,143,9,-0.0364445057357601
1,"CB","Adoree' Jackson",2558065,270,8,-0.0369768403554902
1,"CB","Rashaan Melvin",2541200,175,8,-0.0395425209345929
1,"CB","Tre Flowers",2560728,295,9,-0.0406631941089351
1,"CB","Trumaine Johnson",2532877,190,8,-0.0410113119481409
1,"CB","Richard Sherman",2495507,258,8,-0.0416921142247126
1,"CB","Kenny Moore II",2558976,172,9,-0.0423731415463355
1,"SS","Malcolm Jenkins",79848,219,11,-0.0433943895841028
1,"CB","Johnathan Joseph",2495872,216,7,-0.0446384434836236
1,"CB","Ryan Smith",2555552,148,8,-0.0452162076662228
1,"CB","Ahkello Witherspoon",2558157,209,8,-0.0453912309658151
1,"CB","A.J. Bouye",2541162,255,8,-0.0516022489727433
1,"CB","Xavien Howard",2555539,213,8,-0.0520175116755105
1,"CB","Gareon Conley",2558062,211,8,-0.0630905589403636
1,"CB","Brian Poole",2556445,201,9,-0.0645566514344737
1,"CB","Brent Grimes",2506861,225,8,-0.0646774542794533
1,"CB","Donte Jackson",2560753,257,9,-0.0705087493181221
1,"CB","Morris Claiborne",2533059,329,8,-0.0724202205282499
1,"CB","Michael Davis",2559164,226,8,-0.07368473257858
1,"SS","Derwin James",2560760,168,10,-0.081688312499214
1,"SS","Jamal Adams",2557979,123,10,-0.0878017213135258
1,"CB","Briean Boddy-Calhoun",2556475,140,9,-0.0906452529101387
1,"CB","Ronald Darby",2552689,206,8,-0.0937812961110605
1,"SS","Bradley McDougald",2539243,132,9,-0.099591441725351
1,"SS","Landon Collins",2552454,132,10,-0.134057012429485
1,"CB","Daryl Worley",2555394,127,8,-0.136369054904746
1,"CB","Desmond King",2557927,167,9,-0.187926585217745
1,"CB","Jalen Mills",2555383,148,8,-0.19978598923
0,"CB","Brandon Facyson",2560719,3,1,0.701669031500417
0,"DB","Marcus Allen",2560956,4,1,0.548401351736971
0,"DB","Rashaan Gaulden",2560775,3,1,0.510609525958664
0,"SS","Chris Conte",2495272,3,1,0.472851253355523
0,"FS","George Iloka",2532869,4,1,0.460585754398139
0,"CB","Davon House",2495170,3,1,0.398513643566095
0,"FS","Colin Jones",2499257,3,1,0.386177106891273
0,"CB","Josh Robinson",2533542,3,1,0.38194401944326
0,"DB","Obi Melifonwu",2558189,3,1,0.350176384631272
0,"CB","Joshua Holsey",2558858,3,1,0.341028654379076
0,"CB","Johnson Bademosi",2535693,3,1,0.316219680490828
0,"CB","Quenton Meeks",2560808,13,3,0.308004212335114
0,"FS","Raven Greene",2561207,6,1,0.29383094888106
0,"DB","Tre Sullivan",2559260,7,2,0.281443447529167
0,"CB","Josh Shaw",2552259,9,3,0.281355660933732
0,"CB","Akeem King",2553456,42,6,0.249171114857238
0,"CB","Teez Tabor",2557955,83,8,0.244905411767068
0,"FS","Montae Nicholson",2558133,43,8,0.232994580784257
0,"CB","Kayvon Webster",2540291,3,1,0.231259529390902
0,"SS","Nat Berhe",2543643,8,2,0.227702056884426
0,"DB","Sean Chandler",2561017,23,5,0.223928753975325
0,"CB","DeShawn Shead",2535609,96,8,0.215042192207746
0,"CB","Cameron Sutton",2558849,89,8,0.210237039557708
0,"CB","Brandon Williams",2556371,16,3,0.208614465228316
0,"DT","Brandon Williams",2556371,16,3,0.208614465228316
0,"CB","Charvarius Ward",2561417,35,5,0.208191423203951
0,"DB","Denzel Rice",2553736,4,1,0.204278372881683
0,"CB","Tre Herndon",2561340,21,4,0.20350916993019
0,"SS","Daniel Sorensen",2550257,39,8,0.201712583856341
0,"CB","Isaiah Oliver",2560830,99,8,0.191827828601481
0,"DB","Isaac Yiadom",2560946,89,7,0.180736768957079
0,"SS","Eddie Pleasant",2532928,10,3,0.178443892094612
0,"CB","Jamal Agnew",2558821,30,5,0.168938383196955
0,"CB","Anthony Averett",2560963,19,4,0.168431615718028
0,"DB","Danny Johnson",2560764,22,4,0.166012036121613
0,"FS","Duron Harmon",2541243,11,3,0.159062767811772
0,"CB","Chris Milton",2556394,15,3,0.157997229825605
0,"DB","Su'a Cravens",2555345,22,5,0.157610419590851
0,"CB","Kevin King",2557996,93,8,0.154510982399324
0,"SS","Tony Jefferson",2540164,88,8,0.15425053584272
0,"CB","Holton Hill",2560741,103,8,0.152158275442989
0,"FS","Adrian Colbert",2558857,4,1,0.15160824821555
0,"FS","Glover Quin",71441,62,9,0.15073456991454
0,"CB","Kevin Johnson",2552261,6,2,0.150553441498859
0,"CB","Dexter McDougle",2543608,35,6,0.140397435346766
0,"WR","Tremon Smith",2561103,12,3,0.138864784150406
0,"SS","Ricardo Allen",2543850,8,2,0.13870096766572
0,"CB","Leonard Johnson",2532878,11,2,0.136681828737347
0,"CB","Tony Lippett",2552427,10,3,0.134431430094375
0,"FS","George Odum",2561131,3,1,0.134123724635576
0,"S","Brandon Wilson",2558786,14,3,0.132027557975043
0,"CB","Tony Brown",2560982,70,8,0.129956947832371
0,"SS","Michael Thomas",2535687,96,9,0.127966775945032
0,"WR","Michael Thomas",2535687,96,9,0.127966775945032
0,"CB","Rashard Robinson",2555546,24,4,0.126536354027969
0,"FS","Kendrick Lewis",494277,17,4,0.125420884062232
0,"DB","Anthony Levine",2508004,45,7,0.125283032638212
0,"S","Terrell Edmunds",2560712,58,8,0.116444917409247
0,"FS","Keanu Neal",2555543,3,1,0.116057945128659
0,"CB","Darius Phillips",2560839,60,6,0.115572776909446
0,"DB","Armani Watts",2560921,10,3,0.114374684509794
0,"FS","Jordan Lucas",2555542,24,6,0.113360601703751
0,"SS","Kentrell Brice",2556480,42,7,0.112467934943335
0,"FS","Xavier Woods",2558159,13,2,0.111894343559091
0,"FS","Jabrill Peppers",2557980,111,10,0.110356213243627
0,"FS","Rodney McLeod",2534832,7,2,0.104346901144902
0,"SS","Jayron Kearse",2555156,40,6,0.10322740831836
0,"CB","Jourdan Lewis",2557920,36,6,0.0999037048272573
0,"FS","Harrison Smith",2532948,73,9,0.0998456614543241
0,"CB","Neiko Thorpe",2534846,6,1,0.0978265357109411
0,"FS","Anthony Harris",2553655,17,4,0.0972449098655659
0,"CB","Aaron Colvin",2543501,73,7,0.0968793014218081
0,"SS","Andrew Sendejo",2525323,3,1,0.0960694144508915
0,"SS","Morgan Burnett",496727,96,8,0.0948233959714219
0,"FS","Mike Mitchell",238227,3,1,0.0932182183000036
0,"SS","Lano Hill",2558077,31,6,0.0921723678720374
0,"CB","Marcus Cooper",2541202,13,3,0.0918787241614241
