"position","displayName","route","nflId_def","eps_zone_coverage","zone_covers","accurate_targets","completions_allowed","PB","INT","T","FF","eps_closing","eps_ball_skills","eps_tackling","eps_zone_coverage_no_tackling"
"CB","Kareem Jackson","ANGLE",496735,7.03322864760143,12,2,1,0,1,0,0,0.49900931980644,6.53421932779499,0,7.03322864760143
"ILB","Darron Lee","ANGLE",2555322,6.22013766331474,21,3,2,0,1,1.5,0,0.993920617712669,4.72662904066673,0.499588004935345,5.7205496583794
"SS","Ricardo Allen","ANGLE",2543850,5.35526058007268,4,2,1,0,1,2,0,-0.00440980268663578,5.51218085369632,-0.152510470937007,5.50777105100968
"MLB","Bobby Wagner","ANGLE",2532966,4.86181308636223,31,4,3,0,1,1.5,0,0.859651452922867,3.87861799923248,0.123543634206884,4.73826945215535
"OLB","Matt Milano","ANGLE",2557969,4.65406007061411,26,5,4,0,1,3.5,0,0.0812384618034217,4.30050129799671,0.272320310813976,4.38173975980013
"FS","Budda Baker","ANGLE",2558009,4.6102498343156,5,1,1,0,0,1,1,0.0286829778783396,0.0690199911936656,4.5125468652436,0.0977029690720048
"SS","Patrick Chung","ANGLE",71251,2.89598000246532,10,4,3,0,1,1,0,-0.175665622398061,1.06256775774689,2.00907786711649,0.886902135348829
"OLB","De'Vondre Campbell","ANGLE",2555255,2.36562202980018,26,4,4,0,0,3.5,0,0.803813178926032,-0.280952425064543,1.84276127593869,0.522860753861489
"OLB","Nigel Bradham","ANGLE",2532800,2.13292174724789,45,5,4,1,0,2.5,0,1.08905681237303,0.782739829129843,0.261125105745019,1.87179664150287
"ILB","Danny Trevathan","ANGLE",2532961,1.98824883144164,31,3,1,0,0,0,0,-0.475235565406163,2.64057786257335,-0.17709346572555,2.16534229716719
"SS","Malcolm Jenkins","ANGLE",79848,1.90835907818779,27,4,3,0,0,4.5,0,1.1029506636294,0.748440623311964,0.056967791246429,1.85139128694136
"LB","Darius Leonard","ANGLE",2560789,1.84078265712281,41,11,10,1,0,7.5,0,-0.257828990800883,3.63792483093204,-1.53931318300835,3.38009584013116
"FS","Mike Mitchell","ANGLE",238227,1.67998181760892,5,1,1,0,0,1,0,0.309929586095347,-0.278041390372974,1.64809362188655,0.0318881957223729
"CB","Vernon Hargreaves III","ANGLE",2555299,1.66060545224814,1,1,0,1,0,0,0,1.30743863136452,0.353166820883617,0,1.66060545224814
"ILB","Zach Brown","ANGLE",2532804,1.59971113729103,25,3,1,0,0,1,0,-0.310654551238019,1.77665651511583,0.13370917341322,1.46600196387781
