"position","displayName","nflId_def","route","targets","completions","interceptions","eps_saved_ball_skills","eps_saved_ball_skills_per_target","PB"
"CB","A.J. Bouye",2541162,"FLAT",1,1,0,1.13601074597959,1.13601074597959,0
"CB","A.J. Bouye",2541162,"GO",1,1,0,-0.435153498653126,-0.435153498653126,0
"CB","A.J. Bouye",2541162,"HITCH",7,6,0,0.494651305690056,0.0706644722414366,0
"CB","A.J. Bouye",2541162,"IN",2,2,0,-0.295597636048542,-0.147798818024271,0
"CB","A.J. Bouye",2541162,"OUT",1,1,0,-0.0505655489259903,-0.0505655489259903,0
"OLB","A.J. Klein",2539982,"ANGLE",1,1,0,-0.16496743799053,-0.16496743799053,0
"OLB","A.J. Klein",2539982,"HITCH",7,6,0,0.47455169077392,0.0677930986819886,1
"OLB","A.J. Klein",2539982,"SCREEN",1,1,0,-0.279545006877169,-0.279545006877169,0
"CB","Aaron Colvin",2543501,"CROSS",1,0,0,0.500075754231859,0.500075754231859,0
"CB","Aaron Colvin",2543501,"FLAT",1,0,0,0.166165896350575,0.166165896350575,0
"CB","Aaron Colvin",2543501,"IN",2,2,0,-1.245789008165,-0.622894504082502,0
"CB","Aaron Colvin",2543501,"SLANT",1,1,0,-0.061464423783019,-0.061464423783019,0
"CB","Adam Jones",2506345,"HITCH",1,1,0,-0.213650719168959,-0.213650719168959,0
"CB","Adam Jones",2506345,"POST",1,0,0,1.22788703443891,1.22788703443891,0
"CB","Adam Jones",2506345,"SCREEN",3,3,0,0.273961001776727,0.0913203339255755,0
"CB","Adam Jones",2506345,"SLANT",1,0,0,1.27880686678981,1.27880686678981,1
"MLB","Adarius Taylor",2550565,"ANGLE",1,1,0,0.280535241718897,0.280535241718897,0
"MLB","Adarius Taylor",2550565,"CROSS",1,1,0,0.108795497224144,0.108795497224144,0
"MLB","Adarius Taylor",2550565,"FLAT",3,3,0,-0.541026153571934,-0.180342051190645,0
"MLB","Adarius Taylor",2550565,"HITCH",4,4,0,-0.887377882152212,-0.221844470538053,0
"MLB","Adarius Taylor",2550565,"POST",2,2,0,-0.487931029007843,-0.243965514503921,0
"CB","Adoree' Jackson",2558065,"CROSS",3,2,0,0.960586961240731,0.32019565374691,1
"CB","Adoree' Jackson",2558065,"FLAT",4,4,0,0.198517256504602,0.0496293141261505,0
"CB","Adoree' Jackson",2558065,"GO",1,0,0,-1.41947715366383,-1.41947715366383,1
"CB","Adoree' Jackson",2558065,"HITCH",11,9,0,-3.39502059531348,-0.308638235937589,0
"CB","Adoree' Jackson",2558065,"IN",1,0,0,1.06683594951385,1.06683594951385,1
"CB","Adoree' Jackson",2558065,"OUT",5,5,0,-4.75632883274972,-0.951265766549944,0
"CB","Adoree' Jackson",2558065,"SCREEN",1,1,0,0.104140913807444,0.104140913807444,0
"CB","Adoree' Jackson",2558065,"SLANT",2,2,0,-0.946930298378866,-0.473465149189433,0
"FS","Adrian Amos",2552385,"ANGLE",1,1,0,0.19211325155492,0.19211325155492,0
"FS","Adrian Amos",2552385,"CROSS",8,5,0,4.23046447357494,0.528808059196868,3
"FS","Adrian Amos",2552385,"FLAT",2,1,0,0.035620676444676,0.017810338222338,0
"FS","Adrian Amos",2552385,"HITCH",4,4,0,-0.51879902225798,-0.129699755564495,0
"FS","Adrian Amos",2552385,"IN",2,1,0,-0.600436888313297,-0.300218444156649,0
"FS","Adrian Amos",2552385,"OUT",2,2,0,-0.0994059888054352,-0.0497029944027176,0
"FS","Adrian Amos",2552385,"SLANT",1,1,0,-0.372884742194959,-0.372884742194959,0
"FS","Adrian Colbert",2558857,"CORNER",1,1,0,-3.13660815138463,-3.13660815138463,0
"FS","Adrian Colbert",2558857,"POST",1,1,0,0.29748996407299,0.29748996407299,0
"SS","Adrian Phillips",2550842,"ANGLE",2,1,0,-0.0102999093282369,-0.00514995466411847,1
"SS","Adrian Phillips",2550842,"CROSS",1,1,0,-1.8434059810168,-1.8434059810168,0
"SS","Adrian Phillips",2550842,"FLAT",3,1,1,3.56310785434206,1.18770261811402,0
"SS","Adrian Phillips",2550842,"HITCH",5,2,0,1.83267187359718,0.366534374719436,3
"SS","Adrian Phillips",2550842,"POST",3,2,0,-1.70609132522677,-0.568697108408923,0
"SS","Adrian Phillips",2550842,"SLANT",1,0,0,0.513256232664377,0.513256232664377,1
"CB","Ahkello Witherspoon",2558157,"CORNER",1,1,0,0.638369357960997,0.638369357960997,0
"CB","Ahkello Witherspoon",2558157,"FLAT",1,1,0,-0.673526320780988,-0.673526320780988,0
"CB","Ahkello Witherspoon",2558157,"HITCH",7,7,0,-2.51095660713192,-0.358708086733132,0
"CB","Ahkello Witherspoon",2558157,"IN",1,1,0,-0.55192337344676,-0.55192337344676,0
"CB","Ahkello Witherspoon",2558157,"OUT",1,1,0,0.0620849478096109,0.0620849478096109,0
"CB","Akeem King",2553456,"CORNER",1,1,0,-2.03642356457304,-2.03642356457304,0
"CB","Akeem King",2553456,"HITCH",2,2,0,-0.381102297867451,-0.190551148933725,0
"LB","Alec Ogletree",2540143,"ANGLE",4,4,0,-1.08534880075122,-0.271337200187806,0
"LB","Alec Ogletree",2540143,"CROSS",3,3,0,-0.827171976693244,-0.275723992231081,0
"LB","Alec Ogletree",2540143,"FLAT",2,2,0,-0.264405734967213,-0.132202867483606,0
"LB","Alec Ogletree",2540143,"HITCH",3,2,0,-0.803031103244368,-0.267677034414789,1
"LB","Alec Ogletree",2540143,"IN",2,2,0,-1.72712045436818,-0.86356022718409,0
"LB","Alec Ogletree",2540143,"OUT",2,2,0,-0.229058234936791,-0.114529117468395,0
"LB","Alec Ogletree",2540143,"POST",1,1,0,-0.509706523238336,-0.509706523238336,0
"LB","Alec Ogletree",2540143,"SCREEN",1,1,0,0.229703013074555,0.229703013074555,0
"LB","Alec Ogletree",2540143,"WHEEL",1,0,1,2.98880589851511,2.98880589851511,0
"OLB","Alex Anzalone",2558163,"ANGLE",1,1,0,-0.155745046628493,-0.155745046628493,0
"OLB","Alex Anzalone",2558163,"CROSS",2,2,0,0.332644743215678,0.166322371607839,0
"OLB","Alex Anzalone",2558163,"HITCH",1,1,0,-0.11837639844448,-0.11837639844448,0
"OLB","Alex Anzalone",2558163,"SCREEN",1,1,0,0.407460375110218,0.407460375110218,0
