"qualifying","position","displayName","nflId_def","tackling_opportunities","eps_tackling","eps_per_tackling_opportunity","perc_reduce_yac","FF","Tackles","tackle_perc"
1,"FS","Eddie Jackson",2558176,10,11.0704532604024,1.10704532604024,0.7,1,6,0.6
1,"FS","Mike Mitchell",238227,8,6.80441357531746,0.850551696914682,0.625,1,7.5,0.9375
1,"CB","Captain Munnerlyn",80668,13,5.33854773026076,0.410657517712366,0.846153846153846,0,9.5,0.730769230769231
1,"CB","B.W. Webb",2539338,8,4.70094691817731,0.587618364772164,0.5,1,7.5,0.9375
1,"CB","Kendall Fuller",2555349,32,4.64184006246374,0.145057501951992,0.625,0,17,0.53125
1,"CB","Jason McCourty",89756,16,4.37686433313386,0.273554020820866,0.625,0,10.5,0.65625
1,"SS","Derrick Kindred",2555540,8,4.36344747973062,0.545430934966328,0.5,1,5,0.625
1,"CB","Marshon Lattimore",2558061,16,4.15845825031518,0.259903640644699,0.4375,1,10.5,0.65625
1,"DB","D.J. Reed",2560850,5,3.66197763136575,0.732395526273151,0.6,0,2.5,0.5
1,"CB","Stephon Gilmore",2533062,9,3.35425754894802,0.372695283216447,0.666666666666667,0,5,0.555555555555556
1,"FS","Devin McCourty",494287,13,3.25499517281892,0.250384244062994,0.615384615384615,1,10.5,0.807692307692308
1,"CB","Cameron Sutton",2558849,5,3.16041369573526,0.632082739147051,0.8,0,3,0.6
1,"FS","Marcell Harris",2561006,7,3.02042870580147,0.431489815114496,0.571428571428571,0,4.5,0.642857142857143
1,"CB","Jourdan Lewis",2557920,8,2.99538264237918,0.374422830297397,0.625,0,6,0.75
1,"SS","John Johnson",2558183,13,2.96436904563571,0.228028388125824,0.615384615384615,0,10,0.769230769230769
1,"CB","Kenny Moore II",2558976,28,2.92038260335321,0.104299378691186,0.571428571428571,1,15,0.535714285714286
1,"S","Minkah Fitzpatrick",2560725,7,2.665894068721,0.380842009817285,1,0,5,0.714285714285714
1,"SS","Jeff Heath",2541832,9,2.5952674171902,0.288363046354467,0.555555555555556,0,4,0.444444444444444
1,"FS","Ha Ha Clinton-Dix",2543470,12,2.43753928339726,0.203128273616439,0.416666666666667,1,11,0.916666666666667
1,"CB","K'Waun Williams",2550654,17,2.31788244335082,0.13634602607946,0.705882352941177,0,11.5,0.676470588235294
1,"SS","Patrick Chung",71251,9,2.26160924713389,0.251289916348209,0.666666666666667,0,7,0.777777777777778
1,"SS","Jamal Adams",2557979,7,2.25627789864474,0.322325414092106,0.571428571428571,0,4.5,0.642857142857143
1,"CB","Tyler Patmon",2550659,7,2.22983733039047,0.318548190055781,0.571428571428571,0,4,0.571428571428571
1,"CB","Trumaine Johnson",2532877,14,2.22522652658125,0.158944751898661,0.642857142857143,0,11.5,0.821428571428571
1,"DB","Jordan Whitehead",2560930,16,2.19773749042808,0.137358593151755,0.8125,0,11.5,0.71875
1,"FS","Marcus Williams",2558847,7,2.16860879070322,0.309801255814746,0.571428571428571,0,5,0.714285714285714
1,"CB","Jalen Ramsey",2555280,13,2.14857484027036,0.165274987713105,0.461538461538462,0,11,0.846153846153846
1,"CB","Johnathan Joseph",2495872,29,2.12840358831074,0.0733932271831288,0.655172413793103,0,21.5,0.741379310344828
