"qualifying","position","displayName","nflId_def","tackling_opportunities","eps_tackling","eps_per_tackling_opportunity","perc_reduce_yac","FF","Tackles","tackle_perc"
1,"FS","Eddie Jackson",2558176,16,10.5815590369571,0.66134743980982,0.5625,1,9.5,0.59375
1,"FS","Mike Mitchell",238227,9,10.1794951312292,1.13105501458102,0.666666666666667,2,8.5,0.944444444444444
1,"OLB","Kiko Alonso",2539935,26,6.00150890860447,0.230827265715557,0.576923076923077,0,14,0.538461538461538
1,"ILB","Jayon Brown",2558005,16,5.06214935696197,0.316384334810123,0.6875,1,6.5,0.40625
1,"MLB","Luke Kuechly",2533056,18,5.03562160601062,0.279756755889479,0.611111111111111,1,13,0.722222222222222
1,"CB","Captain Munnerlyn",80668,10,4.85413818457539,0.485413818457539,1,0,7.5,0.75
1,"LB","Tremaine Edmunds",2560713,31,4.83433173154084,0.155946184888414,0.451612903225806,1,13.5,0.435483870967742
1,"OLB","Myles Jack",2555329,21,4.37496874572872,0.208331845034701,0.523809523809524,0,14.5,0.69047619047619
1,"CB","Marshon Lattimore",2558061,17,4.2500490049222,0.250002882642482,0.529411764705882,1,12,0.705882352941177
1,"FS","Antoine Bethea",2495807,22,4.05237872544584,0.184199032974811,0.772727272727273,0,18.5,0.840909090909091
1,"CB","Jason McCourty",89756,16,4.0002561219057,0.250016007619106,0.5625,0,9.5,0.59375
1,"CB","B.W. Webb",2539338,13,3.72376663326849,0.286443587174499,0.615384615384615,1,9.5,0.730769230769231
1,"FS","Budda Baker",2558009,19,3.55756153939476,0.187240081020777,0.421052631578947,1,11.5,0.605263157894737
1,"FS","Devin McCourty",494287,17,3.44694480749612,0.202761459264477,0.647058823529412,1,13,0.764705882352941
1,"CB","Jourdan Lewis",2557920,6,3.43657954724827,0.572763257874712,0.833333333333333,0,5,0.833333333333333
1,"SS","Tony Jefferson",2540164,17,3.37132458060273,0.19831321062369,0.705882352941177,1,13,0.764705882352941
1,"MLB","Deion Jones",2555162,9,3.19601177888325,0.355112419875917,0.777777777777778,1,7,0.777777777777778
1,"CB","K'Waun Williams",2550654,14,3.16209397424132,0.225863855302951,0.785714285714286,0,10.5,0.75
1,"ILB","Josh Harvey-Clemons",2557880,10,3.08702742629343,0.308702742629343,0.8,0,6.5,0.65
1,"CB","Kareem Jackson",496735,14,3.02190262354626,0.215850187396161,0.642857142857143,1,10,0.714285714285714
1,"OLB","Lavonte David",2532828,37,2.91555425349068,0.0787987636078562,0.675675675675676,0,22.5,0.608108108108108
1,"FS","Ha Ha Clinton-Dix",2543470,17,2.73415563852017,0.160832684618834,0.529411764705882,1,12.5,0.735294117647059
1,"FS","Marcell Harris",2561006,6,2.64054392143698,0.440090653572831,0.5,0,4.5,0.75
1,"SS","Jeff Heath",2541832,14,2.6210492100593,0.187217800718522,0.571428571428571,0,6.5,0.464285714285714
1,"FS","Marcus Williams",2558847,11,2.4972863878464,0.227026035258764,0.636363636363636,0,8,0.727272727272727
1,"FS","Ron Parker",2530794,19,2.34249237755179,0.123289072502726,0.789473684210526,0,13,0.684210526315789
1,"SS","Erik Harris",2555568,5,2.27506309203114,0.455012618406228,0.6,0,5,1
1,"FS","Clayton Geathers",2552386,15,2.24222500835479,0.149481667223653,0.733333333333333,0,10,0.666666666666667
1,"SS","Patrick Chung",71251,20,2.16538877720519,0.10826943886026,0.6,0,14,0.7
1,"SS","John Johnson",2558183,23,2.13136697820847,0.0926681294873249,0.608695652173913,0,19,0.826086956521739
1,"CB","Nickell Robey-Coleman",2540197,15,2.11830135764222,0.141220090509481,0.733333333333333,0,7.5,0.5
1,"CB","Tyler Patmon",2550659,5,2.11754125010457,0.423508250020914,0.6,0,2,0.4
1,"FS","Harrison Smith",2532948,13,2.05591465857892,0.158147281429148,0.692307692307692,0,7,0.538461538461538
1,"MLB","Marquel Lee",2557972,8,2.05363968020501,0.256704960025626,0.625,0,3.5,0.4375
1,"CB","Chris Harris",2530510,7,2.03318325887057,0.290454751267224,0.857142857142857,0,6,0.857142857142857
1,"CB","Kenny Moore II",2558976,27,1.99535260473154,0.0739019483233903,0.592592592592593,0,18,0.666666666666667
1,"CB","Johnathan Joseph",2495872,28,1.99458587559257,0.071235209842592,0.642857142857143,0,21,0.75
1,"ILB","Darron Lee",2555322,20,1.98320779083547,0.0991603895417734,0.65,0,8.5,0.425
1,"ILB","Zach Brown",2532804,20,1.94932474317136,0.097466237158568,0.8,0,14,0.7
1,"CB","Jalen Ramsey",2555280,13,1.86781501742321,0.143678078263324,0.538461538461538,0,11,0.846153846153846
1,"LB","Leighton Vander Esch",2560908,34,1.84534552501817,0.0542748683828874,0.647058823529412,0,19.5,0.573529411764706
1,"SS","Jamal Adams",2557979,14,1.83777723476854,0.131269802483467,0.571428571428571,0,11.5,0.821428571428571
1,"CB","Stephon Gilmore",2533062,12,1.8157349939943,0.151311249499525,0.666666666666667,0,7.5,0.625
1,"MLB","Hardy Nickerson",2558982,13,1.65619565021957,0.127399665401505,0.384615384615385,0,5.5,0.423076923076923
1,"SS","Rafael Bush",2507817,11,1.62439841880274,0.147672583527522,0.636363636363636,0,5.5,0.5
1,"OLB","Duke Riley",2557967,21,1.48843510490741,0.0708778621384479,0.619047619047619,0,15,0.714285714285714
1,"CB","William Jackson",2556367,7,1.48331372374597,0.211901960535138,0.714285714285714,0,3,0.428571428571429
1,"CB","Donte Jackson",2560753,28,1.37360966571579,0.0490574880612782,0.714285714285714,0,21.5,0.767857142857143
1,"CB","Rasul Douglas",2558168,21,1.37347837511134,0.0654037321481592,0.523809523809524,0,17.5,0.833333333333333
1,"ILB","B.J. Goodson",2555522,12,1.30310128165959,0.108591773471632,0.5,0,6.5,0.541666666666667
1,"CB","Darius Slay",2540288,11,1.28640999948099,0.116946363589181,0.545454545454545,0,10,0.909090909090909
1,"FS","Corey Graham",2495613,12,1.2681556303149,0.105679635859575,0.5,0,6.5,0.541666666666667
1,"SS","Micah Hyde",2539240,5,1.14077093456214,0.228154186912428,0.8,0,3,0.6
1,"OLB","Anthony Barr",2543459,12,1.11500292192023,0.0929169101600191,0.583333333333333,0,5,0.416666666666667
1,"CB","P.J. Williams",2552484,14,1.11233947400342,0.0794528195716728,0.285714285714286,1,7.5,0.535714285714286
1,"FS","Tyrann Mathieu",2540180,23,1.06529092108397,0.0463169965688685,0.652173913043478,0,16,0.695652173913043
1,"CB","Aaron Colvin",2543501,2,1.03675242190455,0.518376210952274,1,0,0.5,0.25
1,"OLB","Malcolm Smith",2499278,5,1.02858467827444,0.205716935654889,0.8,0,1,0.2
1,"ILB","L.J. Fort",2535613,15,0.994391092781044,0.0662927395187363,0.533333333333333,0,8,0.533333333333333
1,"CB","Prince Amukamara",2495108,13,0.992409418376012,0.076339186028924,0.692307692307692,0,12,0.923076923076923
1,"CB","Richard Sherman",2495507,8,0.970983032367295,0.121372879045912,0.75,0,7,0.875
1,"CB","Malcolm Butler",2550613,15,0.918275665409198,0.0612183776939465,0.533333333333333,0,12.5,0.833333333333333
1,"MLB","Anthony Hitchens",2543592,21,0.914076803863455,0.0435274668506407,0.476190476190476,0,12,0.571428571428571
1,"FS","Tashaun Gipson",2532848,12,0.87215628393172,0.0726796903276433,0.5,0,8.5,0.708333333333333
1,"CB","Taron Johnson",2560766,9,0.871488768903947,0.0968320854337719,0.555555555555556,0,6.5,0.722222222222222
1,"ILB","Benardrick McKinney",2552490,15,0.851925566305027,0.0567950377536685,0.6,0,8,0.533333333333333
1,"CB","Damarious Randall",2552389,20,0.83017542613962,0.041508771306981,0.65,0,17.5,0.875
1,"FS","Adrian Amos",2552385,21,0.805459838283208,0.0383552303944385,0.619047619047619,0,18,0.857142857142857
1,"ILB","Zaire Franklin",2561155,7,0.804238514169902,0.114891216309986,0.571428571428571,0,4,0.571428571428571
1,"CB","Daryl Worley",2555394,7,0.767941058084089,0.109705865440584,0.571428571428571,0,5,0.714285714285714
1,"SS","Reshad Jones",496739,11,0.751675924928699,0.0683341749935181,0.818181818181818,0,9,0.818181818181818
1,"CB","Terrance Mitchell",2543637,14,0.736168933346231,0.0525834952390165,0.428571428571429,0,13,0.928571428571429
1,"CB","M.J. Stewart",2560884,7,0.735416081300355,0.105059440185765,0.857142857142857,0,4.5,0.642857142857143
1,"ILB","Anthony Walker",2558851,11,0.720114804514764,0.065464982228615,0.545454545454545,0,7,0.636363636363636
1,"SS","Kenny Vaccaro",2539320,11,0.713506295731717,0.0648642087028833,0.818181818181818,0,7,0.636363636363636
1,"ILB","C.J. Mosley",2543464,18,0.686633886575535,0.0381463270319742,0.611111111111111,0,13.5,0.75
