"position","displayName","nflId_def","route","tackling_opportunities","eps_tackling","eps_per_tackling_opportunity","perc_reduce_yac","FF","Tackles"
"CB","A.J. Bouye",2541162,"FLAT",1,-0.125532171146804,-0.125532171146804,0,0,1
"CB","A.J. Bouye",2541162,"GO",1,0.152692062118079,0.152692062118079,1,0,0
"CB","A.J. Bouye",2541162,"HITCH",6,0.0677484289944991,0.0112914048324165,0.833333333333333,0,5
"CB","A.J. Bouye",2541162,"IN",2,-0.834923250614167,-0.417461625307084,0.5,0,1
"CB","A.J. Bouye",2541162,"OUT",2,-0.244646205983343,-0.122323102991672,0.5,0,2
"OLB","A.J. Klein",2539982,"ANGLE",1,0.0250231399576847,0.0250231399576847,1,0,1
"OLB","A.J. Klein",2539982,"HITCH",7,0.0723164726181526,0.0103309246597361,0.571428571428571,0,4.5
"OLB","A.J. Klein",2539982,"IN",1,-0.28060938960852,-0.28060938960852,0,0,1
"OLB","A.J. Klein",2539982,"SCREEN",2,0.262051631688009,0.131025815844004,0.5,0,0
"CB","Aaron Colvin",2543501,"IN",1,0.0511859018955423,0.0511859018955423,1,0,0
"CB","Aaron Colvin",2543501,"SLANT",1,0.985566520009005,0.985566520009005,1,0,0.5
"CB","Adam Jones",2506345,"HITCH",1,-0.0592159496863802,-0.0592159496863802,0,0,1
"CB","Adam Jones",2506345,"SCREEN",3,-0.186015982366861,-0.0620053274556202,0.333333333333333,0,1
"MLB","Adarius Taylor",2550565,"CROSS",2,-0.141297310134895,-0.0706486550674475,0.5,0,1
"MLB","Adarius Taylor",2550565,"FLAT",4,-0.175624797244687,-0.0439061993111717,0.75,1,2
"MLB","Adarius Taylor",2550565,"HITCH",3,-0.0602883407462065,-0.0200961135820688,0.333333333333333,0,3
"MLB","Adarius Taylor",2550565,"POST",1,0.0336366020521024,0.0336366020521024,1,0,0.5
"CB","Adoree' Jackson",2558065,"CROSS",1,-3.36450018491658,-3.36450018491658,0,0,0
"CB","Adoree' Jackson",2558065,"FLAT",4,-0.676336831772183,-0.169084207943046,0.5,0,3
"CB","Adoree' Jackson",2558065,"HITCH",9,1.14689552224253,0.127432835804726,1,0,7.5
"CB","Adoree' Jackson",2558065,"OUT",4,0.085360090460717,0.0213400226151793,0.75,0,3
