"nflId_def","Pos","Player","G","Pass Snaps","route","%Man","EPS","Man EPS","Zone EPS","Covers","Accurate TAR","C","INT","PB","T","FF"
2558176,"FS","Eddie Jackson (CHI)",14,577,"FLAT",0.05,15.03,0.75,14.28,20,4,3,1,0,4.5,1
2558976,"CB","Kenny Moore II (IND)",15,514,"FLAT",0.45,14.86,4.02,10.85,64,10,9,1,0,8,0
2558005,"ILB","Jayon Brown (TEN)",16,506,"HITCH",0.16,12.93,4.47,8.46,56,6,4,1,1,2,0
2555539,"CB","Xavien Howard (MIA)",12,430,"POST",0.56,11.63,11.63,0,26,7,2,2,1,2,0
2543681,"CB","Kyle Fuller (CHI)",16,647,"OUT",0.62,10.83,10.14,0.69,47,12,6,2,1,3,0
496735,"CB","Kareem Jackson (HOU)",16,593,"GO",0.37,10.33,6.28,4.05,114,4,1,0,1,1,1
71251,"SS","Patrick Chung (NE)",15,561,"GO",0.46,9.87,9.87,0,41,6,1,0,1,1,0
2552568,"CB","Byron Jones (DAL)",16,594,"GO",0.71,9.78,8.78,1,181,14,5,0,6,3,0
2532828,"OLB","Lavonte David (TB)",14,522,"OUT",0.27,9.62,8.51,1.11,55,14,10,0,0,7,0
2540288,"CB","Darius Slay (DET)",15,499,"GO",0.6,9.62,10.23,-0.61,111,10,2,0,5,2,0
2533062,"CB","Stephon Gilmore (NE)",16,627,"SLANT",0.7,9.56,9.56,0,34,11,7,0,4,5.5,1
2543811,"CB","Pierre Desir (IND)",15,528,"SLANT",0.66,9.53,9.53,0,24,6,4,1,0,1,0
2552484,"CB","P.J. Williams (NO)",15,483,"FLAT",0.56,9.3,2.22,7.07,55,6,4,0,1,2,1
2557996,"CB","Kevin King (GB)",6,170,"GO",0.52,9.22,9.22,0,30,4,0,1,1,0,0
496739,"SS","Reshad Jones (MIA)",14,417,"HITCH",0.09,8.72,5.61,3.1,28,4,2,2,0,1,0
2555310,"MLB","Jaylon Smith (DAL)",16,562,"HITCH",0.18,8.63,2.4,6.23,83,13,11,0,2,11.5,1
2556367,"CB","William Jackson (CIN)",16,601,"GO",0.68,8.58,6.24,2.33,191,9,2,0,3,0,0
2560886,"DB","Greg Stroman (WAS)",12,261,"POST",0.53,8.38,2.74,5.64,17,3,0,1,2,0,0
2495251,"CB","Shareece Wright (HOU)",12,349,"SLANT",0.61,8.07,8.07,0,28,4,1,0,2,1,0
89756,"CB","Jason McCourty (NE)",16,534,"GO",0.59,8.04,3.28,4.76,138,8,4,0,3,2,0
2556456,"FS","Andrew Adams (TB)",12,216,"CROSS",0.19,8,1.03,6.97,26,2,0,1,1,1,0
2560916,"CB","Denzel Ward (CLE)",13,500,"FLAT",0.56,7.97,1.64,6.33,45,6,1,1,0,1,0
4365,"CB","Brandon Carr (BAL)",16,556,"GO",0.58,7.75,10.13,-2.38,127,8,2,1,3,2,0
2558067,"CB","Marlon Humphrey (BAL)",14,469,"GO",0.64,7.46,7.46,0,104,4,1,1,2,0,0
2560754,"DB","J.C. Jackson (NE)",13,266,"GO",0.65,7.25,7.25,0,52,4,1,2,0,1,0
2560725,"S","Minkah Fitzpatrick (MIA)",16,507,"FLAT",0.47,7.22,7.11,0.11,41,5,4,0,1,3.5,0
2558005,"ILB","Jayon Brown (TEN)",16,506,"SCREEN",0.16,7.22,0,7.22,11,3,3,0,0,2.5,1
2552568,"CB","Byron Jones (DAL)",16,594,"CROSS",0.71,7.13,3.03,4.11,44,6,2,0,3,1,0
2535609,"CB","DeShawn Shead (DET)",12,176,"HITCH",0.67,7.06,7.03,0.04,30,3,3,0,0,2,1
2540164,"SS","Tony Jefferson (BAL)",14,531,"FLAT",0.16,7.04,2.89,4.14,33,2,1,0,1,4.5,1
496735,"CB","Kareem Jackson (HOU)",16,593,"ANGLE",0.37,7.03,0,7.03,12,2,1,1,0,0,0
2558176,"FS","Eddie Jackson (CHI)",14,577,"OUT",0.05,6.87,0.08,6.79,20,3,1,1,1,1,0
2560952,"CB","Jaire Alexander (GB)",13,435,"POST",0.57,6.73,2.59,4.14,22,6,2,1,2,2,0
2543470,"FS","Ha Ha Clinton-Dix (GB/WAS)",16,554,"CROSS",0.04,6.72,-0.03,6.75,46,2,2,0,0,4,1
2539935,"OLB","Kiko Alonso (MIA)",15,525,"SCREEN",0.19,6.51,0,6.51,26,6,5,1,0,2,0
2532861,"CB","Casey Hayward (LAC)",15,560,"GO",0.68,6.48,4.19,2.29,168,8,4,0,2,3,0
2495872,"CB","Johnathan Joseph (HOU)",14,485,"HITCH",0.52,6.45,3.64,2.81,88,15,11,1,4,10,0
2555378,"CB","Tavon Young (BAL)",15,401,"OUT",0.5,6.45,6.45,0,17,6,3,0,1,3,0
494289,"CB","Sherrick McManis (CHI)",15,180,"GO",0.53,6.41,6.41,0,21,3,0,0,2,0,0
2560741,"CB","Holton Hill (MIN)",12,172,"GO",0.67,6.4,6.4,0,43,3,0,0,5,1,0
2532877,"CB","Trumaine Johnson (NYJ)",10,379,"SLANT",0.57,6.4,5.63,0.77,22,3,2,1,0,1,0
2560713,"LB","Tremaine Edmunds (BUF)",15,505,"HITCH",0.21,6.37,2.15,4.21,75,19,17,0,2,9.5,1
2555322,"ILB","Darron Lee (NYJ)",12,448,"HITCH",0.21,6.35,3.31,3.04,60,10,8,0,0,5,0
2555349,"CB","Kendall Fuller (KC)",14,622,"CORNER",0.52,6.29,8.51,-2.22,28,4,1,1,0,0,0
2558847,"FS","Marcus Williams (NO)",16,597,"GO",0.02,6.29,1.19,5.1,60,1,0,0,0,2,0
2555166,"MLB","Joe Schobert (CLE)",13,527,"POST",0.2,6.28,1.48,4.8,29,1,0,0,0,0,0
2558094,"ILB","Zach Cunningham (HOU)",14,440,"FLAT",0.24,6.28,3.99,2.29,79,5,5,0,0,5,0
2540162,"CB","Logan Ryan (TEN)",14,498,"CROSS",0.48,6.26,4.99,1.27,66,11,6,0,3,5,0
2555322,"ILB","Darron Lee (NYJ)",12,448,"ANGLE",0.21,6.22,0,6.22,21,3,2,1,0,1.5,0
2557927,"CB","Desmond King (LAC)",15,473,"HITCH",0.39,6.21,0.89,5.32,110,7,4,1,2,4,0
2555329,"OLB","Myles Jack (JAX)",16,553,"FLAT",0.2,6.21,0.72,5.49,52,4,4,0,0,3,0
2552434,"CB","Bobby McCain (MIA)",14,426,"IN",0.59,6.16,2.65,3.51,48,5,4,1,0,3,0
2557945,"SS","Justin Evans (TB)",10,353,"HITCH",0.06,6.13,0,6.13,15,1,0,1,0,0,0
2553796,"CB","Quinton Dunbar (WAS)",7,227,"GO",0.63,6.07,-1.82,7.89,55,4,1,1,2,0,0
2532848,"FS","Tashaun Gipson (JAX)",16,549,"GO",0.19,5.98,2.7,3.28,57,2,0,0,0,0,0
2550257,"SS","Daniel Sorensen (KC)",7,202,"HITCH",0.2,5.94,1.16,4.77,19,3,1,1,0,1,0
