"nflId_def","Pos","Player","G","Pass Snaps","%Zone","route","Zone EPS","Zone EPS Closing","Zone EPS Ball Skills","Zone EPS Tackling","Covers","Accurate TAR","C","INT","PB","T","FF"
2558176,"FS","Eddie Jackson (CHI)",14,577,0.95,"FLAT",14.28,0.67,5.52,8.1,19,4,3,1,0,4.5,1
2558976,"CB","Kenny Moore II (IND)",15,514,0.55,"FLAT",10.85,0.85,7.29,2.7,48,9,8,1,0,7,0
2558005,"ILB","Jayon Brown (TEN)",16,506,0.84,"HITCH",8.46,4.35,3.78,0.32,51,5,3,1,1,1,0
2553796,"CB","Quinton Dunbar (WAS)",7,227,0.37,"GO",7.89,0.36,7.54,0,15,3,0,1,2,0,0
2558005,"ILB","Jayon Brown (TEN)",16,506,0.84,"SCREEN",7.22,0.39,0.14,6.69,11,3,3,0,0,2.5,1
2552484,"CB","P.J. Williams (NO)",15,483,0.44,"FLAT",7.07,0.8,0.86,5.42,38,6,4,0,1,2,1
496735,"CB","Kareem Jackson (HOU)",16,593,0.63,"ANGLE",7.03,0.5,6.53,0,12,2,1,1,0,0,0
2556456,"FS","Andrew Adams (TB)",12,216,0.81,"CROSS",6.97,0.46,6.5,0,22,2,0,1,1,1,0
2558176,"FS","Eddie Jackson (CHI)",14,577,0.95,"OUT",6.79,-0.05,6.79,0.06,19,3,1,1,1,1,0
2543470,"FS","Ha Ha Clinton-Dix (GB/WAS)",16,554,0.96,"CROSS",6.75,0,1.79,4.96,45,2,2,0,0,4,1
2539935,"OLB","Kiko Alonso (MIA)",15,525,0.81,"SCREEN",6.51,1.26,2.65,2.6,26,6,5,1,0,2,0
2560916,"CB","Denzel Ward (CLE)",13,500,0.44,"FLAT",6.33,0.16,5.91,0.27,37,3,1,1,0,1,0
2555310,"MLB","Jaylon Smith (DAL)",16,562,0.82,"HITCH",6.23,1.16,0.31,4.76,69,9,8,0,1,7.5,1
2555322,"ILB","Darron Lee (NYJ)",12,448,0.79,"ANGLE",6.22,0.99,4.73,0.5,21,3,2,1,0,1.5,0
2557945,"SS","Justin Evans (TB)",10,353,0.94,"HITCH",6.13,0.02,6.1,0,15,1,0,1,0,0,0
1302,"CB","Aqib Talib (LA)",8,217,0.55,"CORNER",5.89,0.29,5.6,0,8,1,0,1,0,0,0
2555539,"CB","Xavien Howard (MIA)",12,430,0.44,"GO",5.83,-7.12,12.95,0,38,3,0,0,1,0,0
2560886,"DB","Greg Stroman (WAS)",12,261,0.47,"POST",5.64,0.95,4.73,-0.04,11,2,0,1,1,0,0
2555329,"OLB","Myles Jack (JAX)",16,553,0.8,"FLAT",5.49,0.35,-0.4,5.54,49,4,4,0,0,3,0
2543850,"SS","Ricardo Allen (ATL)",3,130,0.91,"ANGLE",5.36,0,5.51,-0.15,4,2,1,1,0,2,0
238227,"FS","Mike Mitchell (IND)",8,141,0.96,"IN",5.32,0.14,0.22,4.96,3,1,1,0,0,2,1
2557927,"CB","Desmond King (LAC)",15,473,0.61,"HITCH",5.32,1.24,4.49,-0.41,85,7,4,1,2,4,0
2555280,"CB","Jalen Ramsey (JAX)",16,550,0.34,"GO",5.2,-1.15,6.4,-0.05,31,2,0,1,1,1,0
2558847,"FS","Marcus Williams (NO)",16,597,0.98,"GO",5.1,1.25,0.88,2.96,59,1,0,0,0,2,0
2556456,"FS","Andrew Adams (TB)",12,216,0.81,"OUT",4.93,1.35,3.58,0,14,2,0,1,1,0,0
2533056,"MLB","Luke Kuechly (CAR)",16,546,0.84,"CROSS",4.88,0.22,-0.43,5.08,64,4,4,0,0,3,1
2532966,"MLB","Bobby Wagner (SEA)",14,525,0.81,"ANGLE",4.86,0.86,3.88,0.12,31,4,3,1,0,1.5,0
2555169,"ILB","Reggie Ragland (KC)",15,234,0.91,"SLANT",4.85,0.01,4.83,0,8,1,0,1,0,0,0
2560725,"S","Minkah Fitzpatrick (MIA)",16,507,0.53,"SCREEN",4.81,0.51,4.07,0.23,23,1,0,1,0,1,0
2555166,"MLB","Joe Schobert (CLE)",13,527,0.8,"POST",4.8,1.97,2.83,0,21,1,0,0,0,0,0
2550257,"SS","Daniel Sorensen (KC)",7,202,0.8,"HITCH",4.77,0.69,4.15,-0.07,17,3,1,1,0,1,0
89756,"CB","Jason McCourty (NE)",16,534,0.41,"GO",4.76,2.81,-2.35,4.3,42,2,1,0,1,0,0
2561107,"LB","Corey Thompson (BUF)",3,29,0.82,"OUT",4.67,0,0,4.67,1,0,0,0,0,1,1
2557969,"OLB","Matt Milano (BUF)",13,412,0.75,"ANGLE",4.65,0.08,4.3,0.27,26,5,4,1,0,3.5,0
2558009,"FS","Budda Baker (ARI)",14,491,0.53,"ANGLE",4.61,0.03,0.07,4.51,5,1,1,0,0,1,1
2539338,"CB","B.W. Webb (NYG)",16,576,0.4,"HITCH",4.54,-0.25,1.24,3.56,55,6,5,0,0,6,1
2553822,"FS","Curtis Riley (NYG)",16,578,0.97,"POST",4.49,0.42,4.07,0,41,1,0,1,0,0,0
2556673,"OLB","Brennan Scarlett (HOU)",7,54,0.84,"OUT",4.44,-0.08,4.52,0,5,1,0,1,0,0,0
2539237,"CB","D.J. Hayden (JAX)",10,279,0.53,"CORNER",4.44,1.32,3.12,0,13,1,0,1,0,0,0
2550842,"SS","Adrian Phillips (LAC)",15,436,0.85,"FLAT",4.38,0.94,3.56,-0.13,41,3,1,1,0,2,0
2560913,"DB","Tracy Walker (DET)",14,194,0.94,"CROSS",4.34,0.61,3.73,0,12,2,0,1,1,0,0
2560760,"SS","Derwin James (LAC)",15,568,0.72,"CORNER",4.32,1.2,3.11,0,13,2,0,1,1,0,0
2558061,"CB","Marshon Lattimore (NO)",16,569,0.37,"SLANT",4.22,-0.29,-0.31,4.82,8,3,3,0,0,2.5,1
2560713,"LB","Tremaine Edmunds (BUF)",15,505,0.79,"HITCH",4.21,0.43,-0.73,4.51,58,10,10,0,0,5.5,1
2543571,"CB","Bashaud Breeland (GB)",7,184,0.45,"CROSS",4.2,0.49,3.71,0,10,1,0,1,0,0,0
2540164,"SS","Tony Jefferson (BAL)",14,531,0.84,"FLAT",4.14,0.47,0.82,2.85,25,1,1,0,0,4.5,1
2560952,"CB","Jaire Alexander (GB)",13,435,0.43,"POST",4.14,0.98,3.16,0,7,1,0,1,0,0,0
2552568,"CB","Byron Jones (DAL)",16,594,0.29,"CROSS",4.11,0.69,3.11,0.3,25,4,2,0,1,1,0
2557880,"ILB","Josh Harvey-Clemons (WAS)",14,163,0.81,"HITCH",4.1,-0.54,4.64,0,20,1,0,0,0,0,0
2552448,"CB","Trae Waynes (MIN)",13,368,0.37,"SLANT",4.09,-0.89,4.97,0,4,1,0,1,0,0,0
2557867,"CB","Tre'Davious White (BUF)",16,526,0.37,"OUT",4.06,0.7,3.28,0.08,18,4,2,1,0,1.5,0
496735,"CB","Kareem Jackson (HOU)",16,593,0.63,"GO",4.05,-0.29,-0.69,5.03,61,1,1,0,0,1,1
2558851,"ILB","Anthony Walker (IND)",15,353,0.76,"HITCH",4.05,0.01,3.55,0.49,43,6,4,1,0,2,0
2560795,"CB","Avonte Maddox (PHI)",10,371,0.69,"CROSS",3.91,0.1,-0.22,4.03,16,1,1,0,0,1,1
2540170,"CB","David Amerson (ARI)",6,150,0.47,"SLANT",3.87,0.53,3.34,0,7,2,1,1,0,0,0
2555280,"CB","Jalen Ramsey (JAX)",16,550,0.34,"FLAT",3.87,1.14,0.64,2.09,18,4,3,0,0,3,0
2555162,"MLB","Deion Jones (ATL)",6,224,0.79,"OUT",3.87,0.06,-0.16,3.98,8,1,1,0,0,1,1
2557920,"CB","Jourdan Lewis (DAL)",13,136,0.61,"OUT",3.85,1.3,2.01,0.54,11,2,1,1,0,1,0
2532875,"CB","Janoris Jenkins (NYG)",16,602,0.44,"CROSS",3.62,-1.81,5.32,0.11,24,3,1,1,0,2,0
2552434,"CB","Bobby McCain (MIA)",14,426,0.41,"IN",3.51,1.79,1.94,-0.22,24,2,1,1,0,1,0
2505708,"FS","Mike Adams (CAR)",16,553,0.84,"GO",3.47,2.27,1.1,0.1,39,2,1,1,0,1,0
2560753,"CB","Donte Jackson (CAR)",15,524,0.45,"SCREEN",3.43,1.24,0.81,1.39,22,5,5,0,0,5.5,0
2495108,"CB","Prince Amukamara (CHI)",15,585,0.35,"HITCH",3.42,-1.74,5.33,-0.17,54,8,7,1,0,7,0
