"nflId_def","Pos","Player","G","Pass Snaps","%Zone","Zone EPS","Zone EPS Per Game","Zone EPS Per Cover","Zone EPS Closing","Zone EPS Ball Skills","Zone EPS Tackling","Zone EPS Ball Hawk","Zone EPS INT Returns","SOS Zone EPS","SOS Zone EPS Per Game","SOS Zone EPS Per Cover","SOS Zone EPS Closing","SOS Zone EPS Ball Skills","SOS Zone EPS Tackling","Covers","Accurate TAR","C","Targeted C%","INT","Ball Hawk INT","PB","Ball Hawk PB","Hands on Ball % of Targets","Hands on Ball % of Plays","T","FF","Penalties"
2558176,"FS","Eddie Jackson (CHI)",14,577,0.95,36.86,2.63,0.14,2.29,14.57,10.58,3.63,5.79,37.78,2.7,0.15,2.12,15,11.25,260,21,11,0.52,2,3,6,3,0.38,0.05,9.5,1,0
2558184,"SS","Damontae Kazee (ATL)",16,572,0.97,20.42,1.28,0.1,0.97,1.57,0.09,20.45,-2.66,20.69,1.29,0.1,0.92,1.86,0.13,200,5,4,0.8,0,6,1,0,0.2,0.04,3,0,0
2558976,"CB","Kenny Moore II (IND)",15,514,0.55,19.36,1.29,0.08,2.99,8.33,2,8.24,-2.2,18.7,1.25,0.08,2.87,7.61,2.17,249,24,21,0.88,1,2,2,1,0.12,0.02,18,0,0
2556456,"FS","Andrew Adams (TB)",12,216,0.81,16.48,1.37,0.15,3.5,9.05,-1.03,6.62,-1.67,17.29,1.44,0.15,3.43,9.63,-0.73,112,10,6,0.6,2,2,2,0,0.4,0.05,3.5,0,1
2555162,"MLB","Deion Jones (ATL)",6,224,0.79,15.61,2.6,0.13,1.61,-2.11,3.2,8.53,4.39,15.09,2.52,0.13,1.4,-2.35,3.12,119,12,9,0.75,0,2,3,0,0.25,0.04,7,1,0
2555322,"ILB","Darron Lee (NYJ)",12,448,0.79,14.86,1.24,0.06,4.08,4.44,1.98,2.56,1.8,15.1,1.26,0.06,3.92,4.11,2.71,233,22,16,0.73,1,1,0,2,0.05,0.02,8.5,0,0
2560908,"LB","Leighton Vander Esch (DAL)",16,455,0.77,14.7,0.92,0.06,1.4,1.34,1.85,8.59,1.53,13.47,0.84,0.05,0.79,1.11,1.44,267,25,22,0.88,0,2,1,1,0.04,0.01,19.5,0,0
2553655,"FS","Anthony Harris (MIN)",11,299,0.92,13.21,1.2,0.1,1.52,5.82,0.22,5.07,0.58,13.26,1.21,0.1,1.68,5.8,0.13,136,5,2,0.4,0,2,2,1,0.4,0.04,3,0,0
2560916,"CB","Denzel Ward (CLE)",13,500,0.44,13.15,1.01,0.06,0.04,8.59,-0.58,5.33,-0.24,14.59,1.12,0.07,0.29,8.85,0.36,203,27,20,0.74,1,2,1,1,0.07,0.02,15,0,0
2557927,"CB","Desmond King (LAC)",15,473,0.61,13.13,0.88,0.05,4.63,5.98,-2.93,4.8,0.65,14.08,0.94,0.05,4.75,5.23,-1.35,266,27,21,0.78,1,1,5,0,0.22,0.03,21,0,0
